date,queue,volume,aht_seconds
2024-01-13,Technical Support,336,597
2024-01-14,Claims,472,472
2024-01-14,Billing,324,326
2024-01-14,Customer Service,649,321
2024-01-14,Escalations,77,637
2024-01-14,Technical Support,214,581
2024-01-15,Claims,1051,463
2024-01-15,Billing,877,307
2024-01-15,Customer Service,1438,369
2024-01-15,Escalations,203,658
2024-01-15,Technical Support,427,531
2024-01-16,Claims,1043,469
2024-01-16,Billing,754,288
2024-01-16,Customer Service,1349,315
2024-01-16,Escalations,174,705
2024-01-16,Technical Support,436,624
2024-01-17,Claims,878,447
2024-01-17,Billing,703,293
2024-01-17,Customer Service,1411,347
2024-01-17,Escalations,151,687
2024-01-17,Technical Support,443,560
2024-01-18,Claims,817,434
2024-01-18,Billing,699,308
2024-01-18,Customer Service,1234,356
2024-01-18,Escalations,144,706
2024-01-18,Technical Support,469,570
2024-01-19,Claims,772,446
2024-01-19,Billing,632,267
2024-01-19,Customer Service,1021,353
2024-01-19,Escalations,132,750
2024-01-19,Technical Support,393,556
2024-01-20,Claims,526,437
2024-01-20,Billing,467,305
2024-01-20,Customer Service,859,372
2024-01-20,Escalations,105,684
2024-01-20,Technical Support,310,579
2024-01-21,Claims,378,406
2024-01-21,Billing,315,302
2024-01-21,Customer Service,585,386
2024-01-21,Escalations,70,710
2024-01-21,Technical Support,223,599
2024-01-22,Claims,1055,457
2024-01-22,Billing,900,300
2024-01-22,Customer Service,1463,336
2024-01-22,Escalations,184,729
2024-01-22,Technical Support,538,607
2024-01-23,Claims,829,450
2024-01-23,Billing,748,285
2024-01-23,Customer Service,1390,373
2024-01-23,Escalations,207,723
2024-01-23,Technical Support,511,583
2024-01-24,Claims,916,473
2024-01-24,Billing,682,293
2024-01-24,Customer Service,1145,336
2024-01-24,Escalations,172,673
2024-01-24,Technical Support,502,547
2024-01-25,Claims,906,461
2024-01-25,Billing,604,273
2024-01-25,Customer Service,1338,329
2024-01-25,Escalations,134,627
2024-01-25,Technical Support,472,597
2024-01-26,Claims,902,447
2024-01-26,Billing,540,295
2024-01-26,Customer Service,1034,332
2024-01-26,Escalations,136,659
2024-01-26,Technical Support,390,614
2024-01-27,Claims,523,438
2024-01-27,Billing,459,305
2024-01-27,Customer Service,771,335
2024-01-27,Escalations,109,706
2024-01-27,Technical Support,293,639
2024-01-28,Claims,479,463
2024-01-28,Billing,306,294
2024-01-28,Customer Service,586,355
2024-01-28,Escalations,80,692
2024-01-28,Technical Support,203,600
2024-01-29,Claims,1042,443
2024-01-29,Billing,864,298
2024-01-29,Customer Service,1259,354
2024-01-29,Escalations,183,665
2024-01-29,Technical Support,553,570
2024-01-30,Claims,1042,419
2024-01-30,Billing,676,276
2024-01-30,Customer Service,1238,329
2024-01-30,Escalations,180,706
2024-01-30,Technical Support,531,573
2024-01-31,Claims,913,462
2024-01-31,Billing,704,301
2024-01-31,Customer Service,1195,316
2024-01-31,Escalations,161,723
2024-01-31,Technical Support,485,624
2024-02-01,Claims,788,428
2024-02-01,Billing,735,306
2024-02-01,Customer Service,1225,335
2024-02-01,Escalations,133,703
2024-02-01,Technical Support,466,562
2024-02-02,Claims,694,410
2024-02-02,Billing,612,294
2024-02-02,Customer Service,1161,348
2024-02-02,Escalations,124,686
2024-02-02,Technical Support,429,564
2024-02-03,Claims,605,441
2024-02-03,Billing,477,304
2024-02-03,Customer Service,952,349
2024-02-03,Escalations,101,706
2024-02-03,Technical Support,291,580
2024-02-04,Claims,388,476
2024-02-04,Billing,299,282
2024-02-04,Customer Service,587,359
2024-02-04,Escalations,76,741
2024-02-04,Technical Support,226,614
2024-02-05,Claims,1070,445
2024-02-05,Billing,768,292
2024-02-05,Customer Service,1581,368
2024-02-05,Escalations,173,650
2024-02-05,Technical Support,647,571
2024-02-06,Claims,1010,441
2024-02-06,Billing,685,319
2024-02-06,Customer Service,1241,357
2024-02-06,Escalations,176,666
2024-02-06,Technical Support,500,591
2024-02-07,Claims,928,436
2024-02-07,Billing,697,289
2024-02-07,Customer Service,1233,367
2024-02-07,Escalations,144,652
2024-02-07,Technical Support,409,648
2024-02-08,Claims,807,469
2024-02-08,Billing,683,316
2024-02-08,Customer Service,1201,342
2024-02-08,Escalations,133,695
2024-02-08,Technical Support,449,557
2024-02-09,Claims,776,438
2024-02-09,Billing,535,307
2024-02-09,Customer Service,1076,373
2024-02-09,Escalations,133,661
2024-02-09,Technical Support,362,589
2024-02-10,Claims,602,447
2024-02-10,Billing,468,279
2024-02-10,Customer Service,898,360
2024-02-10,Escalations,112,675
2024-02-10,Technical Support,276,594
2024-02-11,Claims,387,440
2024-02-11,Billing,333,288
2024-02-11,Customer Service,615,350
2024-02-11,Escalations,77,692
2024-02-11,Technical Support,290,589
2024-02-12,Claims,1050,434
2024-02-12,Billing,838,305
2024-02-12,Customer Service,1526,379
2024-02-12,Escalations,186,705
2024-02-12,Technical Support,518,630
2024-02-13,Claims,1021,419
2024-02-13,Billing,690,302
2024-02-13,Customer Service,1333,331
2024-02-13,Escalations,163,648
2024-02-13,Technical Support,513,578
2024-02-14,Claims,1042,477
2024-02-14,Billing,572,314
2024-02-14,Customer Service,1309,354
2024-02-14,Escalations,135,646
2024-02-14,Technical Support,448,594
2024-02-15,Claims,910,457
2024-02-15,Billing,643,303
2024-02-15,Customer Service,1080,318
2024-02-15,Escalations,139,669
2024-02-15,Technical Support,467,598
2024-02-16,Claims,709,462
2024-02-16,Billing,586,267
2024-02-16,Customer Service,1068,347
2024-02-16,Escalations,126,705
2024-02-16,Technical Support,467,625
2024-02-17,Claims,616,466
2024-02-17,Billing,376,309
2024-02-17,Customer Service,840,336
2024-02-17,Escalations,98,633
2024-02-17,Technical Support,331,588
2024-02-18,Claims,392,473
2024-02-18,Billing,317,321
2024-02-18,Customer Service,615,362
2024-02-18,Escalations,79,715
2024-02-18,Technical Support,200,611
2024-02-19,Claims,978,437
2024-02-19,Billing,739,298
2024-02-19,Customer Service,1345,379
2024-02-19,Escalations,202,667
2024-02-19,Technical Support,549,648
2024-02-20,Claims,866,443
2024-02-20,Billing,791,320
2024-02-20,Customer Service,1591,325
2024-02-20,Escalations,184,721
2024-02-20,Technical Support,448,578
2024-02-21,Claims,845,418
2024-02-21,Billing,741,303
2024-02-21,Customer Service,1171,368
2024-02-21,Escalations,161,670
2024-02-21,Technical Support,494,555
2024-02-22,Claims,776,448
2024-02-22,Billing,638,299
2024-02-22,Customer Service,876,360
2024-02-22,Escalations,136,733
2024-02-22,Technical Support,435,598
2024-02-23,Claims,679,492
2024-02-23,Billing,652,303
2024-02-23,Customer Service,943,344
2024-02-23,Escalations,128,644
2024-02-23,Technical Support,403,592
2024-02-24,Claims,654,442
2024-02-24,Billing,397,314
2024-02-24,Customer Service,905,358
2024-02-24,Escalations,104,659
2024-02-24,Technical Support,286,605
2024-02-25,Claims,434,465
2024-02-25,Billing,326,323
2024-02-25,Customer Service,563,366
2024-02-25,Escalations,74,727
2024-02-25,Technical Support,215,602
2024-02-26,Claims,1015,459
2024-02-26,Billing,810,319
2024-02-26,Customer Service,1600,327
2024-02-26,Escalations,160,688
2024-02-26,Technical Support,623,577
2024-02-27,Claims,813,459
2024-02-27,Billing,728,318
2024-02-27,Customer Service,1425,340
2024-02-27,Escalations,174,616
2024-02-27,Technical Support,485,588
2024-02-28,Claims,866,471
2024-02-28,Billing,647,308
2024-02-28,Customer Service,1184,357
2024-02-28,Escalations,166,690
2024-02-28,Technical Support,479,562
2024-02-29,Claims,792,462
2024-02-29,Billing,687,287
2024-02-29,Customer Service,1213,388
2024-02-29,Escalations,158,720
2024-02-29,Technical Support,466,583
2024-03-01,Claims,719,436
2024-03-01,Billing,562,299
2024-03-01,Customer Service,1152,346
2024-03-01,Escalations,143,739
2024-03-01,Technical Support,407,606
2024-03-02,Claims,605,434
2024-03-02,Billing,505,328
2024-03-02,Customer Service,806,351
2024-03-02,Escalations,110,727
2024-03-02,Technical Support,312,582
2024-03-03,Claims,420,458
2024-03-03,Billing,356,305
2024-03-03,Customer Service,644,317
2024-03-03,Escalations,80,771
2024-03-03,Technical Support,250,639
2024-03-04,Claims,1029,441
2024-03-04,Billing,828,283
2024-03-04,Customer Service,1414,356
2024-03-04,Escalations,186,703
2024-03-04,Technical Support,538,611
2024-03-05,Claims,992,454
2024-03-05,Billing,789,308
2024-03-05,Customer Service,1299,375
2024-03-05,Escalations,203,720
2024-03-05,Technical Support,479,569
2024-03-06,Claims,812,481
2024-03-06,Billing,751,325
2024-03-06,Customer Service,1349,405
2024-03-06,Escalations,167,661
2024-03-06,Technical Support,500,607
2024-03-07,Claims,855,403
2024-03-07,Billing,608,308
2024-03-07,Customer Service,1216,340
2024-03-07,Escalations,143,767
2024-03-07,Technical Support,489,577
2024-03-08,Claims,762,412
2024-03-08,Billing,550,293
2024-03-08,Customer Service,1060,315
2024-03-08,Escalations,140,726
2024-03-08,Technical Support,390,538
2024-03-09,Claims,560,451
2024-03-09,Billing,467,269
2024-03-09,Customer Service,863,344
2024-03-09,Escalations,101,758
2024-03-09,Technical Support,305,611
2024-03-10,Claims,436,431
2024-03-10,Billing,290,300
2024-03-10,Customer Service,536,350
2024-03-10,Escalations,71,717
2024-03-10,Technical Support,223,559
2024-03-11,Claims,1053,463
2024-03-11,Billing,879,259
2024-03-11,Customer Service,1551,339
2024-03-11,Escalations,179,683
2024-03-11,Technical Support,543,619
2024-03-12,Claims,906,451
2024-03-12,Billing,752,279
2024-03-12,Customer Service,1359,333
2024-03-12,Escalations,178,707
2024-03-12,Technical Support,487,598
2024-03-13,Claims,937,437
2024-03-13,Billing,772,293
2024-03-13,Customer Service,1259,362
2024-03-13,Escalations,164,682
2024-03-13,Technical Support,503,597
2024-03-14,Claims,829,499
2024-03-14,Billing,667,279
2024-03-14,Customer Service,1211,318
2024-03-14,Escalations,152,727
2024-03-14,Technical Support,426,580
2024-03-15,Claims,773,443
2024-03-15,Billing,613,288
2024-03-15,Customer Service,1215,345
2024-03-15,Escalations,147,756
2024-03-15,Technical Support,479,624
2024-03-16,Claims,563,469
2024-03-16,Billing,491,279
2024-03-16,Customer Service,859,330
2024-03-16,Escalations,124,601
2024-03-16,Technical Support,297,576
2024-03-17,Claims,400,472
2024-03-17,Billing,312,308
2024-03-17,Customer Service,502,346
2024-03-17,Escalations,72,699
2024-03-17,Technical Support,213,579
2024-03-18,Claims,1041,455
2024-03-18,Billing,808,311
2024-03-18,Customer Service,1670,322
2024-03-18,Escalations,195,710
2024-03-18,Technical Support,519,628
2024-03-19,Claims,915,441
2024-03-19,Billing,784,311
2024-03-19,Customer Service,1245,399
2024-03-19,Escalations,199,696
2024-03-19,Technical Support,571,612
2024-03-20,Claims,866,433
2024-03-20,Billing,594,303
2024-03-20,Customer Service,1409,358
2024-03-20,Escalations,157,707
2024-03-20,Technical Support,524,569
2024-03-21,Claims,748,455
2024-03-21,Billing,624,322
2024-03-21,Customer Service,1211,358
2024-03-21,Escalations,152,734
2024-03-21,Technical Support,438,593
2024-03-22,Claims,810,467
2024-03-22,Billing,540,304
2024-03-22,Customer Service,1077,333
2024-03-22,Escalations,138,711
2024-03-22,Technical Support,425,570
2024-03-23,Claims,635,436
2024-03-23,Billing,418,303
2024-03-23,Customer Service,744,355
2024-03-23,Escalations,117,658
2024-03-23,Technical Support,326,632
2024-03-24,Claims,403,463
2024-03-24,Billing,369,289
2024-03-24,Customer Service,611,323
2024-03-24,Escalations,83,695
2024-03-24,Technical Support,228,587
2024-03-25,Claims,1199,453
2024-03-25,Billing,898,295
2024-03-25,Customer Service,1424,315
2024-03-25,Escalations,196,686
2024-03-25,Technical Support,573,591
2024-03-26,Claims,1095,464
2024-03-26,Billing,696,290
2024-03-26,Customer Service,1469,379
2024-03-26,Escalations,189,633
2024-03-26,Technical Support,449,639
2024-03-27,Claims,816,445
2024-03-27,Billing,577,313
2024-03-27,Customer Service,1244,351
2024-03-27,Escalations,168,740
2024-03-27,Technical Support,534,588
2024-03-28,Claims,863,425
2024-03-28,Billing,742,321
2024-03-28,Customer Service,1078,348
2024-03-28,Escalations,131,708
2024-03-28,Technical Support,452,637
2024-03-29,Claims,796,427
2024-03-29,Billing,589,309
2024-03-29,Customer Service,910,340
2024-03-29,Escalations,135,695
2024-03-29,Technical Support,366,602
2024-03-30,Claims,633,416
2024-03-30,Billing,473,288
2024-03-30,Customer Service,784,374
2024-03-30,Escalations,102,731
2024-03-30,Technical Support,291,598
2024-03-31,Claims,427,455
2024-03-31,Billing,353,296
2024-03-31,Customer Service,558,374
2024-03-31,Escalations,79,693
2024-03-31,Technical Support,218,607
2024-04-01,Claims,1042,476
2024-04-01,Billing,844,288
2024-04-01,Customer Service,1441,377
2024-04-01,Escalations,188,646
2024-04-01,Technical Support,533,649
2024-04-02,Claims,1234,442
2024-04-02,Billing,818,296
2024-04-02,Customer Service,1421,317
2024-04-02,Escalations,191,684
2024-04-02,Technical Support,559,569
2024-04-03,Claims,956,436
2024-04-03,Billing,781,298
2024-04-03,Customer Service,1458,367
2024-04-03,Escalations,165,707
2024-04-03,Technical Support,492,609
2024-04-04,Claims,907,425
2024-04-04,Billing,579,287
2024-04-04,Customer Service,1151,381
2024-04-04,Escalations,182,674
2024-04-04,Technical Support,556,650
2024-04-05,Claims,818,445
2024-04-05,Billing,668,300
2024-04-05,Customer Service,1208,369
2024-04-05,Escalations,184,745
2024-04-05,Technical Support,482,597
2024-04-06,Claims,643,441
2024-04-06,Billing,459,299
2024-04-06,Customer Service,799,356
2024-04-06,Escalations,116,731
2024-04-06,Technical Support,323,600
2024-04-07,Claims,411,464
2024-04-07,Billing,336,325
2024-04-07,Customer Service,598,357
2024-04-07,Escalations,93,711
2024-04-07,Technical Support,263,554
2024-04-08,Claims,1113,391
2024-04-08,Billing,952,306
2024-04-08,Customer Service,1582,348
2024-04-08,Escalations,183,682
2024-04-08,Technical Support,661,607
2024-04-09,Claims,1113,449
2024-04-09,Billing,748,317
2024-04-09,Customer Service,1484,352
2024-04-09,Escalations,175,674
2024-04-09,Technical Support,502,630
2024-04-10,Claims,1047,445
2024-04-10,Billing,859,308
2024-04-10,Customer Service,1222,342
2024-04-10,Escalations,180,677
2024-04-10,Technical Support,489,603
2024-04-11,Claims,892,450
2024-04-11,Billing,676,307
2024-04-11,Customer Service,1220,345
2024-04-11,Escalations,164,636
2024-04-11,Technical Support,459,587
2024-04-12,Claims,853,468
2024-04-12,Billing,636,296
2024-04-12,Customer Service,1157,346
2024-04-12,Escalations,137,735
2024-04-12,Technical Support,422,579
2024-04-13,Claims,689,415
2024-04-13,Billing,517,298
2024-04-13,Customer Service,846,342
2024-04-13,Escalations,116,666
2024-04-13,Technical Support,365,595
2024-04-14,Claims,402,461
2024-04-14,Billing,370,300
2024-04-14,Customer Service,621,355
2024-04-14,Escalations,86,763
2024-04-14,Technical Support,231,590
2024-04-15,Claims,953,456
2024-04-15,Billing,741,292
2024-04-15,Customer Service,1579,335
2024-04-15,Escalations,201,680
2024-04-15,Technical Support,547,586
2024-04-16,Claims,1123,458
2024-04-16,Billing,708,335
2024-04-16,Customer Service,1500,337
2024-04-16,Escalations,170,685
2024-04-16,Technical Support,536,598
2024-04-17,Claims,979,459
2024-04-17,Billing,694,304
2024-04-17,Customer Service,1334,372
2024-04-17,Escalations,186,615
2024-04-17,Technical Support,492,528
2024-04-18,Claims,991,439
2024-04-18,Billing,646,316
2024-04-18,Customer Service,1367,323
2024-04-18,Escalations,183,595
2024-04-18,Technical Support,395,617
2024-04-19,Claims,783,455
2024-04-19,Billing,669,284
2024-04-19,Customer Service,1161,333
2024-04-19,Escalations,152,666
2024-04-19,Technical Support,421,603
2024-04-20,Claims,655,436
2024-04-20,Billing,491,307
2024-04-20,Customer Service,1004,300
2024-04-20,Escalations,117,670
2024-04-20,Technical Support,354,566
2024-04-21,Claims,449,444
2024-04-21,Billing,341,292
2024-04-21,Customer Service,633,364
2024-04-21,Escalations,85,635
2024-04-21,Technical Support,238,601
2024-04-22,Claims,1141,463
2024-04-22,Billing,994,328
2024-04-22,Customer Service,1684,342
2024-04-22,Escalations,192,711
2024-04-22,Technical Support,647,546
2024-04-23,Claims,1034,396
2024-04-23,Billing,684,313
2024-04-23,Customer Service,1387,350
2024-04-23,Escalations,160,741
2024-04-23,Technical Support,550,559
2024-04-24,Claims,977,462
2024-04-24,Billing,846,328
2024-04-24,Customer Service,1414,357
2024-04-24,Escalations,169,710
2024-04-24,Technical Support,551,600
2024-04-25,Claims,765,415
2024-04-25,Billing,724,320
2024-04-25,Customer Service,1393,339
2024-04-25,Escalations,145,718
2024-04-25,Technical Support,537,553
2024-04-26,Claims,859,423
2024-04-26,Billing,619,322
2024-04-26,Customer Service,1241,344
2024-04-26,Escalations,174,751
2024-04-26,Technical Support,449,598
2024-04-27,Claims,664,409
2024-04-27,Billing,479,313
2024-04-27,Customer Service,856,340
2024-04-27,Escalations,122,724
2024-04-27,Technical Support,321,601
2024-04-28,Claims,468,415
2024-04-28,Billing,342,302
2024-04-28,Customer Service,682,388
2024-04-28,Escalations,84,717
2024-04-28,Technical Support,267,598
2024-04-29,Claims,1070,474
2024-04-29,Billing,835,303
2024-04-29,Customer Service,1452,354
2024-04-29,Escalations,190,662
2024-04-29,Technical Support,609,607
2024-04-30,Claims,1134,473
2024-04-30,Billing,758,287
2024-04-30,Customer Service,1615,375
2024-04-30,Escalations,209,697
2024-04-30,Technical Support,585,573
2024-05-01,Claims,1165,472
2024-05-01,Billing,727,296
2024-05-01,Customer Service,1288,363
2024-05-01,Escalations,153,690
2024-05-01,Technical Support,600,598
2024-05-02,Claims,1015,461
2024-05-02,Billing,734,304
2024-05-02,Customer Service,1392,315
2024-05-02,Escalations,155,661
2024-05-02,Technical Support,611,628
2024-05-03,Claims,877,447
2024-05-03,Billing,670,292
2024-05-03,Customer Service,1297,326
2024-05-03,Escalations,159,662
2024-05-03,Technical Support,468,539
2024-05-04,Claims,633,448
2024-05-04,Billing,536,291
2024-05-04,Customer Service,1097,333
2024-05-04,Escalations,132,698
2024-05-04,Technical Support,403,611
2024-05-05,Claims,463,497
2024-05-05,Billing,340,277
2024-05-05,Customer Service,674,370
2024-05-05,Escalations,86,734
2024-05-05,Technical Support,278,577
2024-05-06,Claims,1001,455
2024-05-06,Billing,994,293
2024-05-06,Customer Service,1614,353
2024-05-06,Escalations,197,753
2024-05-06,Technical Support,563,618
2024-05-07,Claims,963,461
2024-05-07,Billing,905,294
2024-05-07,Customer Service,1576,324
2024-05-07,Escalations,176,693
2024-05-07,Technical Support,527,636
2024-05-08,Claims,986,416
2024-05-08,Billing,879,284
2024-05-08,Customer Service,1401,352
2024-05-08,Escalations,157,666
2024-05-08,Technical Support,526,576
2024-05-09,Claims,944,440
2024-05-09,Billing,579,280
2024-05-09,Customer Service,1357,333
2024-05-09,Escalations,167,725
2024-05-09,Technical Support,540,561
2024-05-10,Claims,998,414
2024-05-10,Billing,724,291
2024-05-10,Customer Service,1200,363
2024-05-10,Escalations,140,693
2024-05-10,Technical Support,555,586
2024-05-11,Claims,679,451
2024-05-11,Billing,517,274
2024-05-11,Customer Service,952,359
2024-05-11,Escalations,121,713
2024-05-11,Technical Support,354,588
2024-05-12,Claims,461,473
2024-05-12,Billing,353,283
2024-05-12,Customer Service,680,370
2024-05-12,Escalations,82,705
2024-05-12,Technical Support,241,590
2024-05-13,Claims,1169,450
2024-05-13,Billing,868,298
2024-05-13,Customer Service,1833,371
2024-05-13,Escalations,161,662
2024-05-13,Technical Support,667,577
2024-05-14,Claims,1222,473
2024-05-14,Billing,709,291
2024-05-14,Customer Service,1525,366
2024-05-14,Escalations,190,759
2024-05-14,Technical Support,522,588
2024-05-15,Claims,951,465
2024-05-15,Billing,707,283
2024-05-15,Customer Service,1633,363
2024-05-15,Escalations,192,707
2024-05-15,Technical Support,592,614
2024-05-16,Claims,1022,435
2024-05-16,Billing,672,275
2024-05-16,Customer Service,1307,359
2024-05-16,Escalations,177,628
2024-05-16,Technical Support,461,590
2024-05-17,Claims,919,471
2024-05-17,Billing,652,303
2024-05-17,Customer Service,1191,384
2024-05-17,Escalations,162,736
2024-05-17,Technical Support,477,580
2024-05-18,Claims,657,451
2024-05-18,Billing,565,299
2024-05-18,Customer Service,872,322
2024-05-18,Escalations,125,667
2024-05-18,Technical Support,375,583
2024-05-19,Claims,471,404
2024-05-19,Billing,379,301
2024-05-19,Customer Service,614,346
2024-05-19,Escalations,92,641
2024-05-19,Technical Support,252,612
2024-05-20,Claims,1111,466
2024-05-20,Billing,961,303
2024-05-20,Customer Service,1545,344
2024-05-20,Escalations,182,721
2024-05-20,Technical Support,538,620
2024-05-21,Claims,1166,457
2024-05-21,Billing,763,288
2024-05-21,Customer Service,1790,355
2024-05-21,Escalations,164,742
2024-05-21,Technical Support,668,582
2024-05-22,Claims,1032,497
2024-05-22,Billing,770,292
2024-05-22,Customer Service,1371,351
2024-05-22,Escalations,185,676
2024-05-22,Technical Support,536,607
2024-05-23,Claims,1052,411
2024-05-23,Billing,746,292
2024-05-23,Customer Service,1381,331
2024-05-23,Escalations,166,705
2024-05-23,Technical Support,510,630
2024-05-24,Claims,892,465
2024-05-24,Billing,574,264
2024-05-24,Customer Service,1096,386
2024-05-24,Escalations,163,710
2024-05-24,Technical Support,467,577
2024-05-25,Claims,667,454
2024-05-25,Billing,518,303
2024-05-25,Customer Service,982,338
2024-05-25,Escalations,114,707
2024-05-25,Technical Support,336,582
2024-05-26,Claims,491,441
2024-05-26,Billing,341,290
2024-05-26,Customer Service,705,325
2024-05-26,Escalations,74,705
2024-05-26,Technical Support,277,618
2024-05-27,Claims,1205,462
2024-05-27,Billing,906,312
2024-05-27,Customer Service,1768,356
2024-05-27,Escalations,232,681
2024-05-27,Technical Support,664,625
2024-05-28,Claims,949,419
2024-05-28,Billing,764,286
2024-05-28,Customer Service,1492,333
2024-05-28,Escalations,197,738
2024-05-28,Technical Support,613,628
2024-05-29,Claims,957,461
2024-05-29,Billing,788,316
2024-05-29,Customer Service,1348,335
2024-05-29,Escalations,171,712
2024-05-29,Technical Support,477,596
2024-05-30,Claims,896,469
2024-05-30,Billing,660,298
2024-05-30,Customer Service,1259,343
2024-05-30,Escalations,185,719
2024-05-30,Technical Support,473,626
2024-05-31,Claims,1054,435
2024-05-31,Billing,692,299
2024-05-31,Customer Service,1248,331
2024-05-31,Escalations,143,613
2024-05-31,Technical Support,487,606
2024-06-01,Claims,635,464
2024-06-01,Billing,514,304
2024-06-01,Customer Service,1132,316
2024-06-01,Escalations,117,688
2024-06-01,Technical Support,385,533
2024-06-02,Claims,449,481
2024-06-02,Billing,362,284
2024-06-02,Customer Service,766,372
2024-06-02,Escalations,80,733
2024-06-02,Technical Support,288,573
2024-06-03,Claims,1206,425
2024-06-03,Billing,833,305
2024-06-03,Customer Service,1692,335
2024-06-03,Escalations,217,704
2024-06-03,Technical Support,634,586
2024-06-04,Claims,956,410
2024-06-04,Billing,788,267
2024-06-04,Customer Service,1513,354
2024-06-04,Escalations,192,680
2024-06-04,Technical Support,608,583
2024-06-05,Claims,1013,466
2024-06-05,Billing,682,318
2024-06-05,Customer Service,1453,345
2024-06-05,Escalations,185,688
2024-06-05,Technical Support,552,615
2024-06-06,Claims,1033,419
2024-06-06,Billing,776,303
2024-06-06,Customer Service,1392,360
2024-06-06,Escalations,167,724
2024-06-06,Technical Support,437,542
2024-06-07,Claims,885,433
2024-06-07,Billing,666,287
2024-06-07,Customer Service,1235,352
2024-06-07,Escalations,136,717
2024-06-07,Technical Support,414,645
2024-06-08,Claims,722,439
2024-06-08,Billing,508,293
2024-06-08,Customer Service,991,370
2024-06-08,Escalations,118,710
2024-06-08,Technical Support,353,638
2024-06-09,Claims,511,456
2024-06-09,Billing,349,283
2024-06-09,Customer Service,677,327
2024-06-09,Escalations,81,646
2024-06-09,Technical Support,243,620
2024-06-10,Claims,1114,477
2024-06-10,Billing,889,328
2024-06-10,Customer Service,1550,365
2024-06-10,Escalations,222,741
2024-06-10,Technical Support,561,583
2024-06-11,Claims,1078,424
2024-06-11,Billing,807,313
2024-06-11,Customer Service,1724,357
2024-06-11,Escalations,196,704
2024-06-11,Technical Support,627,612
2024-06-12,Claims,881,457
2024-06-12,Billing,780,319
2024-06-12,Customer Service,1511,373
2024-06-12,Escalations,178,719
2024-06-12,Technical Support,574,625
2024-06-13,Claims,912,462
2024-06-13,Billing,810,293
2024-06-13,Customer Service,1591,363
2024-06-13,Escalations,163,651
2024-06-13,Technical Support,486,632
2024-06-14,Claims,956,423
2024-06-14,Billing,738,304
2024-06-14,Customer Service,1159,335
2024-06-14,Escalations,146,719
2024-06-14,Technical Support,443,599
2024-06-15,Claims,595,414
2024-06-15,Billing,472,306
2024-06-15,Customer Service,865,340
2024-06-15,Escalations,110,731
2024-06-15,Technical Support,352,600
2024-06-16,Claims,485,459
2024-06-16,Billing,409,286
2024-06-16,Customer Service,618,340
2024-06-16,Escalations,91,684
2024-06-16,Technical Support,248,626
2024-06-17,Claims,1138,488
2024-06-17,Billing,921,288
2024-06-17,Customer Service,1468,369
2024-06-17,Escalations,208,624
2024-06-17,Technical Support,613,564
2024-06-18,Claims,1138,428
2024-06-18,Billing,857,280
2024-06-18,Customer Service,1850,322
2024-06-18,Escalations,183,714
2024-06-18,Technical Support,555,594
2024-06-19,Claims,950,459
2024-06-19,Billing,731,310
2024-06-19,Customer Service,1340,355
2024-06-19,Escalations,193,723
2024-06-19,Technical Support,590,598
2024-06-20,Claims,909,423
2024-06-20,Billing,680,316
2024-06-20,Customer Service,1395,340
2024-06-20,Escalations,161,667
2024-06-20,Technical Support,530,595
2024-06-21,Claims,871,429
2024-06-21,Billing,576,294
