date,month,dow_num,day_of_week,total_volume,total_workload_hours,avg_aht,shrinkage_pct,scheduled_fte,available_hours,utilization_pct
2024-03-28,March,3,Thursday,3266,377.99,487.8,0.3021,78,435.49,86.8
2024-03-29,March,4,Friday,2796,318.17,474.6,0.3057,49,272.17,116.9
2024-03-30,March,5,Saturday,2283,261.49,481.4,0.3205,55,298.98,87.46
2024-03-31,March,6,Sunday,1635,192.93,485.0,0.2905,36,204.34,94.42
2024-04-01,April,0,Monday,4048,486.03,487.2,0.3086,84,464.62,104.61
2024-04-02,April,1,Tuesday,4223,468.54,461.6,0.2984,79,443.41,105.67
2024-04-03,April,2,Wednesday,3852,444.7,483.4,0.2972,83,466.66,95.29
2024-04-04,April,3,Thursday,3375,409.51,483.4,0.2884,61,347.26,117.93
2024-04-05,April,4,Friday,3360,398.61,491.2,0.325,70,378.0,105.45
2024-04-06,April,5,Saturday,2340,273.28,485.4,0.2944,48,270.95,100.86
2024-04-07,April,6,Sunday,1701,201.44,482.2,0.3105,36,198.58,101.44
2024-04-08,April,0,Monday,4491,500.85,466.8,0.2719,73,425.21,117.79
2024-04-09,April,1,Tuesday,4022,470.4,484.4,0.3177,91,496.71,94.7
2024-04-10,April,2,Wednesday,3797,434.76,475.0,0.3158,91,498.1,87.28
2024-04-11,April,3,Thursday,3411,389.88,465.0,0.3015,59,329.69,118.26
2024-04-12,April,4,Friday,3205,370.22,484.8,0.2966,76,427.67,86.57
2024-04-13,April,5,Saturday,2533,284.39,463.2,0.306,44,244.29,116.41
2024-04-14,April,6,Sunday,1710,199.64,493.8,0.3343,38,202.37,98.65
2024-04-15,April,0,Monday,4021,454.75,469.8,0.2736,82,476.52,95.43
2024-04-16,April,1,Tuesday,4037,470.56,482.6,0.3117,85,468.04,100.54
2024-04-17,April,2,Wednesday,3685,425.21,455.6,0.2863,78,445.35,95.48
2024-04-18,April,3,Thursday,3582,398.15,458.0,0.2997,82,459.4,86.67
2024-04-19,April,4,Friday,3186,357.77,468.2,0.2963,54,304.0,117.69
2024-04-20,April,5,Saturday,2621,282.31,455.8,0.2936,48,271.26,104.07
2024-04-21,April,6,Sunday,1746,201.76,467.2,0.2998,34,190.45,105.94
2024-04-22,April,0,Monday,4658,533.34,478.0,0.283,98,562.13,94.88
2024-04-23,April,1,Tuesday,3815,426.39,471.8,0.3154,82,449.1,94.94
2024-04-24,April,2,Wednesday,3957,467.84,491.4,0.2731,80,465.22,100.56
2024-04-25,April,3,Thursday,3564,395.13,469.0,0.3081,68,376.39,104.98
2024-04-26,April,4,Friday,3342,385.76,487.6,0.2951,68,383.47,100.6
2024-04-27,April,5,Saturday,2442,276.06,477.4,0.2824,55,315.74,87.43
2024-04-28,April,6,Sunday,1843,217.22,484.0,0.303,37,206.31,105.29
2024-04-29,April,0,Monday,4156,491.56,480.0,0.2766,98,567.15,86.67
2024-04-30,April,1,Tuesday,4301,511.23,481.0,0.3006,78,436.43,117.14
2024-05-01,May,2,Wednesday,3933,471.38,483.8,0.2787,82,473.17,99.62
2024-05-02,May,3,Thursday,3907,448.81,473.8,0.3069,85,471.31,95.23
2024-05-03,May,4,Friday,3471,379.99,453.2,0.2861,63,359.81,105.61
2024-05-04,May,5,Saturday,2801,317.56,476.2,0.2932,56,316.65,100.29
2024-05-05,May,6,Sunday,1841,221.44,491.0,0.3044,42,233.72,94.75
2024-05-06,May,0,Monday,4369,503.54,494.4,0.2884,75,426.96,117.94
2024-05-07,May,1,Tuesday,4147,466.05,481.6,0.2991,79,442.97,105.21
2024-05-08,May,2,Wednesday,3949,433.47,458.8,0.2773,86,497.22,87.18
2024-05-09,May,3,Thursday,3587,403.71,467.8,0.3095,62,342.49,117.87
2024-05-10,May,4,Friday,3617,411.58,469.4,0.3265,80,431.04,95.49
2024-05-11,May,5,Saturday,2623,301.13,477.0,0.3419,54,284.3,105.92
2024-05-12,May,6,Sunday,1817,213.77,484.2,0.3014,36,201.2,106.25
2024-05-13,May,0,Monday,4698,543.39,471.6,0.3118,84,462.47,117.5
2024-05-14,May,1,Tuesday,4168,498.23,495.4,0.2733,81,470.9,105.8
2024-05-15,May,2,Wednesday,4075,481.76,486.4,0.3225,93,504.06,95.58
2024-05-16,May,3,Thursday,3639,411.59,457.4,0.3116,63,346.95,118.63
2024-05-17,May,4,Friday,3401,412.13,494.8,0.2927,84,475.31,86.71
2024-05-18,May,5,Saturday,2594,291.13,464.4,0.3186,45,245.3,118.68
2024-05-19,May,6,Sunday,1808,202.78,460.8,0.2962,31,174.54,116.18
2024-05-20,May,0,Monday,4337,501.43,490.8,0.2931,102,576.83,86.93
2024-05-21,May,1,Tuesday,4551,527.36,484.8,0.3071,100,554.32,95.14
2024-05-22,May,2,Wednesday,3894,463.72,484.6,0.284,81,463.97,99.95
2024-05-23,May,3,Thursday,3855,429.35,473.8,0.3153,78,427.25,100.49
2024-05-24,May,4,Friday,3192,381.83,480.4,0.2842,77,440.93,86.6
2024-05-25,May,5,Saturday,2617,296.63,476.8,0.2842,54,309.23,95.93
2024-05-26,May,6,Sunday,1888,213.31,475.8,0.2864,36,205.52,103.79
2024-05-27,May,0,Monday,4775,567.17,487.2,0.3114,118,650.04,87.25
2024-05-28,May,1,Tuesday,4015,456.47,480.8,0.2907,80,453.95,100.56
2024-05-29,May,2,Wednesday,3741,429.95,484.0,0.2798,78,449.4,95.67
2024-05-30,May,3,Thursday,3473,410.51,491.0,0.2909,61,346.04,118.63
2024-05-31,May,4,Friday,3624,405.91,456.8,0.2995,76,425.9,95.31
2024-06-01,June,5,Saturday,2783,303.96,461.0,0.2923,56,317.05,95.87
2024-06-02,June,6,Sunday,1945,229.83,488.6,0.2927,41,231.99,99.07
2024-06-03,June,0,Monday,4582,516.04,471.0,0.3417,98,516.11,99.99
2024-06-04,June,1,Tuesday,4057,450.83,458.8,0.2971,76,427.36,105.49
2024-06-05,June,2,Wednesday,3885,460.28,486.4,0.3052,79,439.11,104.82
2024-06-06,June,3,Thursday,3805,424.12,469.6,0.3045,88,489.63,86.62
2024-06-07,June,4,Friday,3336,381.58,486.8,0.3037,58,323.08,118.11
2024-06-08,June,5,Saturday,2692,317.07,490.0,0.3193,55,299.51,105.86
2024-06-09,June,6,Sunday,1861,210.05,466.4,0.3242,39,210.85,99.62
2024-06-10,June,0,Monday,4336,522.3,498.8,0.3054,99,550.12,94.94
2024-06-11,June,1,Tuesday,4432,513.0,482.0,0.2915,104,589.47,87.03
2024-06-12,June,2,Wednesday,3924,472.72,498.6,0.3291,84,450.84,104.85
2024-06-13,June,3,Thursday,3962,458.19,480.2,0.3086,87,481.21,95.22
2024-06-14,June,4,Friday,3442,385.37,476.0,0.336,76,403.71,95.46
2024-06-15,June,5,Saturday,2394,271.24,478.2,0.2763,44,254.74,106.48
2024-06-16,June,6,Sunday,1851,213.11,479.0,0.3129,33,181.39,117.49
2024-06-17,June,0,Monday,4348,510.5,466.6,0.3388,82,433.75,117.69
2024-06-18,June,1,Tuesday,4583,495.31,467.6,0.3047,102,567.36,87.3
2024-06-19,June,2,Wednesday,3804,452.98,489.0,0.3066,69,382.76,118.35
2024-06-20,June,3,Thursday,3675,415.68,468.2,0.3144,87,477.18,87.11
2024-06-21,June,4,Friday,3412,388.3,472.8,0.3016,69,385.52,100.72
2024-06-22,June,5,Saturday,2669,319.98,504.4,0.3053,55,305.67,104.68
2024-06-23,June,6,Sunday,1740,205.0,479.8,0.3049,39,216.87,94.53
2024-06-24,June,0,Monday,4654,553.97,483.6,0.3006,114,637.85,86.85
2024-06-25,June,1,Tuesday,4429,515.9,479.8,0.3284,82,440.57,117.1
2024-06-26,June,2,Wednesday,4084,463.49,472.8,0.3169,98,535.55,86.54
2024-06-27,June,3,Thursday,3980,463.87,483.4,0.3138,97,532.49,87.11
2024-06-28,June,4,Friday,3366,402.41,484.6,0.3221,63,341.66,117.78
2024-06-29,June,5,Saturday,2614,303.42,477.0,0.306,46,255.39,118.81
2024-06-30,June,6,Sunday,1901,220.88,483.6,0.2984,37,207.67,106.36
2024-07-01,July,0,Monday,3750,427.17,485.8,0.301,80,447.36,95.49
2024-07-02,July,1,Tuesday,3637,415.86,471.0,0.31,72,397.44,104.63
2024-07-03,July,2,Wednesday,3319,396.17,482.8,0.2941,67,378.36,104.71
2024-07-04,July,3,Thursday,3022,348.74,482.2,0.3025,53,295.74,117.92
2024-07-05,July,4,Friday,2712,319.21,482.0,0.3023,49,273.5,116.71
2024-07-06,July,5,Saturday,2143,245.54,464.6,0.3419,49,257.98,95.18
2024-07-07,July,6,Sunday,1589,190.25,495.4,0.2684,37,216.55,87.85
2024-07-08,July,0,Monday,3481,415.04,490.2,0.3073,71,393.45,105.49
2024-07-09,July,1,Tuesday,3452,399.99,479.4,0.3359,79,419.71,95.3
2024-07-10,July,2,Wednesday,3414,398.14,476.2,0.3118,69,379.89,104.8
2024-07-11,July,3,Thursday,3228,356.68,471.2,0.3213,76,412.65,86.44
2024-07-12,July,4,Friday,2945,335.35,487.6,0.3115,58,319.46,104.97
2024-07-13,July,5,Saturday,2190,254.18,491.2,0.3,45,252.0,100.87
2024-07-14,July,6,Sunday,1373,156.6,474.6,0.2764,28,162.09,96.61
2024-07-15,July,0,Monday,3702,389.74,433.0,0.3131,60,329.71,118.21
2024-07-16,July,1,Tuesday,3655,424.66,496.8,0.2984,72,404.12,105.08
2024-07-17,July,2,Wednesday,3100,361.71,470.0,0.298,68,381.89,94.72
2024-07-18,July,3,Thursday,3243,375.28,489.4,0.3025,71,396.18,94.72
2024-07-19,July,4,Friday,2933,341.68,482.4,0.3362,61,323.93,105.48
2024-07-20,July,5,Saturday,2255,262.69,485.0,0.3461,43,224.94,116.78
2024-07-21,July,6,Sunday,1718,201.7,477.2,0.3133,31,170.3,118.44
2024-07-22,July,0,Monday,3661,430.11,477.4,0.303,73,407.05,105.67
2024-07-23,July,1,Tuesday,3668,436.51,489.0,0.2923,81,458.59,95.19
2024-07-24,July,2,Wednesday,3273,378.1,471.4,0.317,59,322.38,117.28
2024-07-25,July,3,Thursday,3033,344.23,464.2,0.3367,62,329.0,104.63
2024-07-26,July,4,Friday,2745,327.99,486.2,0.3063,56,310.78,105.54
2024-07-27,July,5,Saturday,2296,269.37,483.2,0.2743,44,255.45,105.45
2024-07-28,July,6,Sunday,1557,181.4,481.0,0.3201,35,190.37,95.29
2024-07-29,July,0,Monday,3737,430.67,488.4,0.3248,68,367.31,117.25
2024-07-30,July,1,Tuesday,3636,419.19,483.2,0.2862,77,439.7,95.34
2024-07-31,July,2,Wednesday,3243,389.14,496.8,0.3126,71,390.44,99.67
2024-08-01,August,3,Thursday,3017,353.27,483.6,0.3168,55,300.61,117.52
2024-08-02,August,4,Friday,2777,306.57,476.0,0.3089,58,320.67,95.6
2024-08-03,August,5,Saturday,2058,235.12,476.0,0.2981,36,202.15,116.31
2024-08-04,August,6,Sunday,1506,177.37,476.8,0.3252,33,178.15,99.56
2024-08-05,August,0,Monday,3754,442.9,496.4,0.3039,92,512.33,86.45
2024-08-06,August,1,Tuesday,3594,406.27,470.0,0.2877,68,387.49,104.85
2024-08-07,August,2,Wednesday,3030,356.06,477.4,0.2793,65,374.76,95.01
2024-08-08,August,3,Thursday,3186,380.18,481.2,0.3289,71,381.18,99.74
2024-08-09,August,4,Friday,2672,307.45,475.2,0.3192,56,305.0,100.8
2024-08-10,August,5,Saturday,2190,253.04,488.8,0.3113,39,214.87,117.76
2024-08-11,August,6,Sunday,1606,180.64,465.4,0.3034,28,156.04,115.77
2024-08-12,August,0,Monday,3922,449.41,461.2,0.3021,76,424.32,105.91
2024-08-13,August,1,Tuesday,3369,391.86,485.8,0.2939,59,333.28,117.58
2024-08-14,August,2,Wednesday,3385,380.52,463.0,0.3035,72,401.18,94.85
2024-08-15,August,3,Thursday,3082,355.17,478.0,0.2782,65,375.34,94.63
2024-08-16,August,4,Friday,2766,303.78,459.0,0.299,57,319.66,95.03
2024-08-17,August,5,Saturday,1999,229.36,470.6,0.3053,47,261.21,87.81
2024-08-18,August,6,Sunday,1431,165.32,480.2,0.3191,32,174.31,94.84
2024-08-19,August,0,Monday,3929,456.25,476.2,0.3094,70,386.74,117.97
2024-08-20,August,1,Tuesday,3325,379.62,482.6,0.3219,60,325.49,116.63
2024-08-21,August,2,Wednesday,3518,399.81,475.2,0.3302,78,417.96,95.66
2024-08-22,August,3,Thursday,3090,358.94,484.0,0.3259,67,361.32,99.34
2024-08-23,August,4,Friday,2602,300.05,475.4,0.3171,55,300.48,99.86
2024-08-24,August,5,Saturday,2209,246.64,481.8,0.3102,45,248.33,99.32
2024-08-25,August,6,Sunday,1507,176.27,485.0,0.2953,30,169.13,104.22
2024-08-26,August,0,Monday,3464,395.83,472.8,0.3211,84,456.22,86.76
2024-08-27,August,1,Tuesday,3647,424.18,485.6,0.3352,84,446.75,94.95
2024-08-28,August,2,Wednesday,3207,391.4,496.8,0.3151,68,372.59,105.05
2024-08-29,August,3,Thursday,3002,341.08,463.2,0.3388,64,338.53,100.75
2024-08-30,August,4,Friday,2585,292.29,470.6,0.2871,54,307.97,94.91
2024-08-31,August,5,Saturday,2228,267.88,491.4,0.2927,45,254.63,105.2
2024-09-01,September,6,Sunday,1826,207.87,474.0,0.3128,32,175.92,118.16
2024-09-02,September,0,Monday,4485,534.99,492.8,0.304,96,534.53,100.09
2024-09-03,September,1,Tuesday,4062,482.73,486.4,0.3197,84,457.16,105.59
2024-09-04,September,2,Wednesday,4090,456.65,463.6,0.2998,69,386.51,118.15
2024-09-05,September,3,Thursday,3518,396.66,479.2,0.287,70,399.28,99.34
2024-09-06,September,4,Friday,3087,345.81,472.8,0.2968,71,399.42,86.58
2024-09-07,September,5,Saturday,2504,289.31,475.6,0.277,50,289.2,100.04
2024-09-08,September,6,Sunday,1851,212.11,478.0,0.2831,43,246.61,86.01
2024-09-09,September,0,Monday,4513,530.93,500.0,0.3146,111,608.64,87.23
2024-09-10,September,1,Tuesday,4016,486.78,502.8,0.3131,102,560.51,86.85
2024-09-11,September,2,Wednesday,3893,447.62,467.4,0.3054,85,472.33,94.77
2024-09-12,September,3,Thursday,3839,447.14,488.8,0.2742,81,470.32,95.07
2024-09-13,September,4,Friday,3349,392.62,485.2,0.2946,80,451.46,86.97
2024-09-14,September,5,Saturday,2388,278.51,487.6,0.2816,41,235.64,118.19
2024-09-15,September,6,Sunday,1926,218.97,477.8,0.3176,46,251.12,87.2
2024-09-16,September,0,Monday,4435,528.21,496.4,0.2912,88,499.0,105.85
2024-09-17,September,1,Tuesday,4214,485.68,479.6,0.2837,97,555.85,87.38
2024-09-18,September,2,Wednesday,3814,433.95,473.4,0.3004,81,453.34,95.72
2024-09-19,September,3,Thursday,3866,452.53,487.0,0.2904,84,476.85,94.9
2024-09-20,September,4,Friday,3113,353.05,459.6,0.3223,62,336.14,105.03
2024-09-21,September,5,Saturday,2592,291.13,467.8,0.289,49,278.71,104.46
2024-09-22,September,6,Sunday,1728,200.16,480.6,0.279,35,201.88,99.15
2024-09-23,September,0,Monday,4627,561.2,502.8,0.2677,81,474.53,118.26
2024-09-24,September,1,Tuesday,4113,462.2,472.2,0.2995,70,392.28,117.82
2024-09-25,September,2,Wednesday,3971,482.71,493.4,0.2916,72,408.04,118.3
2024-09-26,September,3,Thursday,3482,388.99,472.4,0.2786,71,409.76,94.93
2024-09-27,September,4,Friday,3170,364.96,473.2,0.3178,57,311.08,117.32
2024-09-28,September,5,Saturday,2430,285.47,488.2,0.31,52,287.04,99.45
2024-09-29,September,6,Sunday,1875,219.5,481.8,0.2996,39,218.52,100.45
2024-09-30,September,0,Monday,4219,490.13,479.4,0.3205,77,418.57,117.1
2024-10-01,October,1,Tuesday,4349,489.52,478.8,0.3099,84,463.75,105.56
2024-10-02,October,2,Wednesday,4130,485.82,488.8,0.2877,85,484.36,100.3
2024-10-03,October,3,Thursday,4094,491.98,508.6,0.2844,82,469.43,104.8
2024-10-04,October,4,Friday,3646,413.15,476.0,0.3123,79,434.63,95.06
2024-10-05,October,5,Saturday,2811,323.85,485.2,0.3059,58,322.06,100.56
2024-10-06,October,6,Sunday,1813,212.8,476.4,0.3025,36,200.88,105.93
2024-10-07,October,0,Monday,4731,537.65,473.6,0.2873,80,456.13,117.87
2024-10-08,October,1,Tuesday,4388,504.33,475.6,0.3091,96,530.61,95.05
2024-10-09,October,2,Wednesday,4201,496.66,486.2,0.2887,100,569.04,87.28
2024-10-10,October,3,Thursday,3958,453.81,466.6,0.2985,93,521.92,86.95
2024-10-11,October,4,Friday,3440,406.22,495.4,0.3217,64,347.29,116.97
2024-10-12,October,5,Saturday,2551,290.59,474.6,0.2901,54,306.68,94.75
2024-10-13,October,6,Sunday,1983,234.74,488.6,0.2764,43,248.92,94.3
2024-10-14,October,0,Monday,4841,532.81,476.2,0.2842,98,561.19,94.94
2024-10-15,October,1,Tuesday,4547,513.0,472.0,0.3149,98,537.12,95.51
2024-10-16,October,2,Wednesday,4003,474.87,490.0,0.3038,98,545.82,87.0
2024-10-17,October,3,Thursday,4025,461.85,471.0,0.2981,78,437.99,105.45
2024-10-18,October,4,Friday,3428,397.39,474.6,0.2924,74,418.9,94.87
2024-10-19,October,5,Saturday,2569,300.74,479.4,0.3073,52,288.16,104.37
2024-10-20,October,6,Sunday,2002,224.53,475.2,0.2873,41,233.77,96.05
2024-10-21,October,0,Monday,4590,525.51,477.8,0.3046,94,522.94,100.49
2024-10-22,October,1,Tuesday,4456,515.3,479.8,0.289,91,517.61,99.55
2024-10-23,October,2,Wednesday,4248,491.93,475.4,0.2865,86,490.89,100.21
2024-10-24,October,3,Thursday,3639,435.78,485.2,0.2904,81,459.82,94.77
2024-10-25,October,4,Friday,3538,409.57,486.6,0.2944,69,389.49,105.16
2024-10-26,October,5,Saturday,2991,352.05,480.4,0.2993,72,403.6,87.23
2024-10-27,October,6,Sunday,1874,224.84,482.6,0.3035,34,189.45,118.68
2024-10-28,October,0,Monday,4792,550.6,479.6,0.25,105,630.0,87.4
2024-10-29,October,1,Tuesday,4149,474.21,470.0,0.2879,87,495.62,95.68
2024-10-30,October,2,Wednesday,4235,483.22,472.4,0.2941,86,485.66,99.5
2024-10-31,October,3,Thursday,3896,444.1,477.0,0.3226,82,444.37,99.94
2024-11-01,November,4,Friday,3822,435.84,487.6,0.2838,72,412.53,105.65
2024-11-02,November,5,Saturday,2686,307.24,474.8,0.3024,58,323.69,94.92
2024-11-03,November,6,Sunday,1813,201.57,463.8,0.3224,43,233.09,86.48
2024-11-04,November,0,Monday,5025,570.76,479.4,0.2803,104,598.79,95.32
2024-11-05,November,1,Tuesday,4598,549.5,497.2,0.3059,104,577.49,95.15
2024-11-06,November,2,Wednesday,3971,463.99,478.6,0.288,82,467.07,99.34
2024-11-07,November,3,Thursday,3928,453.26,481.6,0.2924,92,520.79,87.03
2024-11-08,November,4,Friday,3279,382.02,470.4,0.288,57,324.67,117.66
2024-11-09,November,5,Saturday,2744,328.29,498.2,0.289,58,329.9,99.51
2024-11-10,November,6,Sunday,1974,229.06,485.4,0.3408,50,263.68,86.87
2024-11-11,November,0,Monday,4694,547.33,486.2,0.3127,95,522.35,104.78
2024-11-12,November,1,Tuesday,4504,544.83,495.6,0.3165,100,546.8,99.64
2024-11-13,November,2,Wednesday,4141,485.94,490.0,0.3074,83,459.89,105.66
2024-11-14,November,3,Thursday,3621,408.74,481.2,0.2759,71,411.29,99.38
2024-11-15,November,4,Friday,3680,402.51,457.0,0.3059,76,422.01,95.38
2024-11-16,November,5,Saturday,2724,307.03,471.8,0.3161,65,355.63,86.33
2024-11-17,November,6,Sunday,2019,237.43,494.4,0.2872,40,228.1,104.09
2024-11-18,November,0,Monday,4680,535.09,472.6,0.3145,98,537.43,99.56
2024-11-19,November,1,Tuesday,4787,571.02,491.8,0.3106,98,540.49,105.65
2024-11-20,November,2,Wednesday,4227,483.13,469.8,0.3278,90,483.98,99.82
2024-11-21,November,3,Thursday,4174,497.73,496.8,0.2937,88,497.24,100.1
2024-11-22,November,4,Friday,3459,412.78,484.2,0.2835,61,349.65,118.06
2024-11-23,November,5,Saturday,2710,316.27,484.8,0.2946,48,270.87,116.76
2024-11-24,November,6,Sunday,1986,230.52,488.4,0.3215,36,195.41,117.97
2024-11-25,November,0,Monday,5035,592.73,483.2,0.2726,97,564.46,105.01
2024-11-26,November,1,Tuesday,4636,529.35,470.2,0.269,95,555.56,95.28
