date,month,dow_num,day_of_week,total_volume,total_workload_hours,avg_aht
2024-03-19,March,1,Tuesday,3714,453.35,491.8
2024-03-20,March,2,Wednesday,3550,407.93,474.0
2024-03-21,March,3,Thursday,3173,373.92,492.4
2024-03-22,March,4,Friday,2990,344.85,477.0
2024-03-23,March,5,Saturday,2240,264.07,476.8
2024-03-24,March,6,Sunday,1694,189.47,471.4
2024-03-25,March,0,Monday,4290,480.48,468.0
2024-03-26,March,1,Tuesday,3898,464.78,481.0
2024-03-27,March,2,Wednesday,3339,394.08,487.4
2024-03-28,March,3,Thursday,3266,377.99,487.8
2024-03-29,March,4,Friday,2796,318.17,474.6
2024-03-30,March,5,Saturday,2283,261.49,481.4
2024-03-31,March,6,Sunday,1635,192.93,485.0
2024-04-01,April,0,Monday,4048,486.03,487.2
2024-04-02,April,1,Tuesday,4223,468.54,461.6
2024-04-03,April,2,Wednesday,3852,444.7,483.4
2024-04-04,April,3,Thursday,3375,409.51,483.4
2024-04-05,April,4,Friday,3360,398.61,491.2
2024-04-06,April,5,Saturday,2340,273.28,485.4
2024-04-07,April,6,Sunday,1701,201.44,482.2
2024-04-08,April,0,Monday,4491,500.85,466.8
2024-04-09,April,1,Tuesday,4022,470.4,484.4
2024-04-10,April,2,Wednesday,3797,434.76,475.0
2024-04-11,April,3,Thursday,3411,389.88,465.0
2024-04-12,April,4,Friday,3205,370.22,484.8
2024-04-13,April,5,Saturday,2533,284.39,463.2
2024-04-14,April,6,Sunday,1710,199.64,493.8
2024-04-15,April,0,Monday,4021,454.75,469.8
2024-04-16,April,1,Tuesday,4037,470.56,482.6
2024-04-17,April,2,Wednesday,3685,425.21,455.6
2024-04-18,April,3,Thursday,3582,398.15,458.0
2024-04-19,April,4,Friday,3186,357.77,468.2
2024-04-20,April,5,Saturday,2621,282.31,455.8
2024-04-21,April,6,Sunday,1746,201.76,467.2
2024-04-22,April,0,Monday,4658,533.34,478.0
2024-04-23,April,1,Tuesday,3815,426.39,471.8
2024-04-24,April,2,Wednesday,3957,467.84,491.4
2024-04-25,April,3,Thursday,3564,395.13,469.0
2024-04-26,April,4,Friday,3342,385.76,487.6
2024-04-27,April,5,Saturday,2442,276.06,477.4
2024-04-28,April,6,Sunday,1843,217.22,484.0
2024-04-29,April,0,Monday,4156,491.56,480.0
2024-04-30,April,1,Tuesday,4301,511.23,481.0
2024-05-01,May,2,Wednesday,3933,471.38,483.8
2024-05-02,May,3,Thursday,3907,448.81,473.8
2024-05-03,May,4,Friday,3471,379.99,453.2
2024-05-04,May,5,Saturday,2801,317.56,476.2
2024-05-05,May,6,Sunday,1841,221.44,491.0
2024-05-06,May,0,Monday,4369,503.54,494.4
2024-05-07,May,1,Tuesday,4147,466.05,481.6
2024-05-08,May,2,Wednesday,3949,433.47,458.8
2024-05-09,May,3,Thursday,3587,403.71,467.8
2024-05-10,May,4,Friday,3617,411.58,469.4
2024-05-11,May,5,Saturday,2623,301.13,477.0
2024-05-12,May,6,Sunday,1817,213.77,484.2
2024-05-13,May,0,Monday,4698,543.39,471.6
2024-05-14,May,1,Tuesday,4168,498.23,495.4
2024-05-15,May,2,Wednesday,4075,481.76,486.4
2024-05-16,May,3,Thursday,3639,411.59,457.4
2024-05-17,May,4,Friday,3401,412.13,494.8
2024-05-18,May,5,Saturday,2594,291.13,464.4
2024-05-19,May,6,Sunday,1808,202.78,460.8
2024-05-20,May,0,Monday,4337,501.43,490.8
2024-05-21,May,1,Tuesday,4551,527.36,484.8
2024-05-22,May,2,Wednesday,3894,463.72,484.6
2024-05-23,May,3,Thursday,3855,429.35,473.8
2024-05-24,May,4,Friday,3192,381.83,480.4
2024-05-25,May,5,Saturday,2617,296.63,476.8
2024-05-26,May,6,Sunday,1888,213.31,475.8
2024-05-27,May,0,Monday,4775,567.17,487.2
2024-05-28,May,1,Tuesday,4015,456.47,480.8
2024-05-29,May,2,Wednesday,3741,429.95,484.0
2024-05-30,May,3,Thursday,3473,410.51,491.0
2024-05-31,May,4,Friday,3624,405.91,456.8
2024-06-01,June,5,Saturday,2783,303.96,461.0
2024-06-02,June,6,Sunday,1945,229.83,488.6
2024-06-03,June,0,Monday,4582,516.04,471.0
2024-06-04,June,1,Tuesday,4057,450.83,458.8
2024-06-05,June,2,Wednesday,3885,460.28,486.4
2024-06-06,June,3,Thursday,3805,424.12,469.6
2024-06-07,June,4,Friday,3336,381.58,486.8
2024-06-08,June,5,Saturday,2692,317.07,490.0
2024-06-09,June,6,Sunday,1861,210.05,466.4
2024-06-10,June,0,Monday,4336,522.3,498.8
2024-06-11,June,1,Tuesday,4432,513.0,482.0
2024-06-12,June,2,Wednesday,3924,472.72,498.6
2024-06-13,June,3,Thursday,3962,458.19,480.2
2024-06-14,June,4,Friday,3442,385.37,476.0
2024-06-15,June,5,Saturday,2394,271.24,478.2
2024-06-16,June,6,Sunday,1851,213.11,479.0
2024-06-17,June,0,Monday,4348,510.5,466.6
2024-06-18,June,1,Tuesday,4583,495.31,467.6
2024-06-19,June,2,Wednesday,3804,452.98,489.0
2024-06-20,June,3,Thursday,3675,415.68,468.2
2024-06-21,June,4,Friday,3412,388.3,472.8
2024-06-22,June,5,Saturday,2669,319.98,504.4
2024-06-23,June,6,Sunday,1740,205.0,479.8
2024-06-24,June,0,Monday,4654,553.97,483.6
2024-06-25,June,1,Tuesday,4429,515.9,479.8
2024-06-26,June,2,Wednesday,4084,463.49,472.8
2024-06-27,June,3,Thursday,3980,463.87,483.4
2024-06-28,June,4,Friday,3366,402.41,484.6
2024-06-29,June,5,Saturday,2614,303.42,477.0
2024-06-30,June,6,Sunday,1901,220.88,483.6
2024-07-01,July,0,Monday,3750,427.17,485.8
2024-07-02,July,1,Tuesday,3637,415.86,471.0
2024-07-03,July,2,Wednesday,3319,396.17,482.8
2024-07-04,July,3,Thursday,3022,348.74,482.2
2024-07-05,July,4,Friday,2712,319.21,482.0
2024-07-06,July,5,Saturday,2143,245.54,464.6
2024-07-07,July,6,Sunday,1589,190.25,495.4
2024-07-08,July,0,Monday,3481,415.04,490.2
2024-07-09,July,1,Tuesday,3452,399.99,479.4
2024-07-10,July,2,Wednesday,3414,398.14,476.2
2024-07-11,July,3,Thursday,3228,356.68,471.2
2024-07-12,July,4,Friday,2945,335.35,487.6
2024-07-13,July,5,Saturday,2190,254.18,491.2
2024-07-14,July,6,Sunday,1373,156.6,474.6
2024-07-15,July,0,Monday,3702,389.74,433.0
2024-07-16,July,1,Tuesday,3655,424.66,496.8
2024-07-17,July,2,Wednesday,3100,361.71,470.0
2024-07-18,July,3,Thursday,3243,375.28,489.4
2024-07-19,July,4,Friday,2933,341.68,482.4
2024-07-20,July,5,Saturday,2255,262.69,485.0
2024-07-21,July,6,Sunday,1718,201.7,477.2
2024-07-22,July,0,Monday,3661,430.11,477.4
2024-07-23,July,1,Tuesday,3668,436.51,489.0
2024-07-24,July,2,Wednesday,3273,378.1,471.4
2024-07-25,July,3,Thursday,3033,344.23,464.2
2024-07-26,July,4,Friday,2745,327.99,486.2
2024-07-27,July,5,Saturday,2296,269.37,483.2
2024-07-28,July,6,Sunday,1557,181.4,481.0
2024-07-29,July,0,Monday,3737,430.67,488.4
2024-07-30,July,1,Tuesday,3636,419.19,483.2
2024-07-31,July,2,Wednesday,3243,389.14,496.8
2024-08-01,August,3,Thursday,3017,353.27,483.6
2024-08-02,August,4,Friday,2777,306.57,476.0
2024-08-03,August,5,Saturday,2058,235.12,476.0
2024-08-04,August,6,Sunday,1506,177.37,476.8
2024-08-05,August,0,Monday,3754,442.9,496.4
2024-08-06,August,1,Tuesday,3594,406.27,470.0
2024-08-07,August,2,Wednesday,3030,356.06,477.4
2024-08-08,August,3,Thursday,3186,380.18,481.2
2024-08-09,August,4,Friday,2672,307.45,475.2
2024-08-10,August,5,Saturday,2190,253.04,488.8
2024-08-11,August,6,Sunday,1606,180.64,465.4
2024-08-12,August,0,Monday,3922,449.41,461.2
2024-08-13,August,1,Tuesday,3369,391.86,485.8
2024-08-14,August,2,Wednesday,3385,380.52,463.0
2024-08-15,August,3,Thursday,3082,355.17,478.0
2024-08-16,August,4,Friday,2766,303.78,459.0
2024-08-17,August,5,Saturday,1999,229.36,470.6
2024-08-18,August,6,Sunday,1431,165.32,480.2
2024-08-19,August,0,Monday,3929,456.25,476.2
2024-08-20,August,1,Tuesday,3325,379.62,482.6
2024-08-21,August,2,Wednesday,3518,399.81,475.2
2024-08-22,August,3,Thursday,3090,358.94,484.0
2024-08-23,August,4,Friday,2602,300.05,475.4
2024-08-24,August,5,Saturday,2209,246.64,481.8
2024-08-25,August,6,Sunday,1507,176.27,485.0
2024-08-26,August,0,Monday,3464,395.83,472.8
2024-08-27,August,1,Tuesday,3647,424.18,485.6
2024-08-28,August,2,Wednesday,3207,391.4,496.8
2024-08-29,August,3,Thursday,3002,341.08,463.2
2024-08-30,August,4,Friday,2585,292.29,470.6
2024-08-31,August,5,Saturday,2228,267.88,491.4
2024-09-01,September,6,Sunday,1826,207.87,474.0
2024-09-02,September,0,Monday,4485,534.99,492.8
2024-09-03,September,1,Tuesday,4062,482.73,486.4
2024-09-04,September,2,Wednesday,4090,456.65,463.6
2024-09-05,September,3,Thursday,3518,396.66,479.2
2024-09-06,September,4,Friday,3087,345.81,472.8
2024-09-07,September,5,Saturday,2504,289.31,475.6
2024-09-08,September,6,Sunday,1851,212.11,478.0
2024-09-09,September,0,Monday,4513,530.93,500.0
2024-09-10,September,1,Tuesday,4016,486.78,502.8
2024-09-11,September,2,Wednesday,3893,447.62,467.4
2024-09-12,September,3,Thursday,3839,447.14,488.8
2024-09-13,September,4,Friday,3349,392.62,485.2
2024-09-14,September,5,Saturday,2388,278.51,487.6
2024-09-15,September,6,Sunday,1926,218.97,477.8
2024-09-16,September,0,Monday,4435,528.21,496.4
2024-09-17,September,1,Tuesday,4214,485.68,479.6
2024-09-18,September,2,Wednesday,3814,433.95,473.4
2024-09-19,September,3,Thursday,3866,452.53,487.0
2024-09-20,September,4,Friday,3113,353.05,459.6
2024-09-21,September,5,Saturday,2592,291.13,467.8
2024-09-22,September,6,Sunday,1728,200.16,480.6
2024-09-23,September,0,Monday,4627,561.2,502.8
2024-09-24,September,1,Tuesday,4113,462.2,472.2
2024-09-25,September,2,Wednesday,3971,482.71,493.4
2024-09-26,September,3,Thursday,3482,388.99,472.4
2024-09-27,September,4,Friday,3170,364.96,473.2
2024-09-28,September,5,Saturday,2430,285.47,488.2
2024-09-29,September,6,Sunday,1875,219.5,481.8
2024-09-30,September,0,Monday,4219,490.13,479.4
2024-10-01,October,1,Tuesday,4349,489.52,478.8
2024-10-02,October,2,Wednesday,4130,485.82,488.8
2024-10-03,October,3,Thursday,4094,491.98,508.6
2024-10-04,October,4,Friday,3646,413.15,476.0
2024-10-05,October,5,Saturday,2811,323.85,485.2
2024-10-06,October,6,Sunday,1813,212.8,476.4
2024-10-07,October,0,Monday,4731,537.65,473.6
2024-10-08,October,1,Tuesday,4388,504.33,475.6
2024-10-09,October,2,Wednesday,4201,496.66,486.2
2024-10-10,October,3,Thursday,3958,453.81,466.6
2024-10-11,October,4,Friday,3440,406.22,495.4
2024-10-12,October,5,Saturday,2551,290.59,474.6
2024-10-13,October,6,Sunday,1983,234.74,488.6
2024-10-14,October,0,Monday,4841,532.81,476.2
2024-10-15,October,1,Tuesday,4547,513.0,472.0
2024-10-16,October,2,Wednesday,4003,474.87,490.0
2024-10-17,October,3,Thursday,4025,461.85,471.0
2024-10-18,October,4,Friday,3428,397.39,474.6
2024-10-19,October,5,Saturday,2569,300.74,479.4
2024-10-20,October,6,Sunday,2002,224.53,475.2
2024-10-21,October,0,Monday,4590,525.51,477.8
2024-10-22,October,1,Tuesday,4456,515.3,479.8
2024-10-23,October,2,Wednesday,4248,491.93,475.4
2024-10-24,October,3,Thursday,3639,435.78,485.2
2024-10-25,October,4,Friday,3538,409.57,486.6
2024-10-26,October,5,Saturday,2991,352.05,480.4
2024-10-27,October,6,Sunday,1874,224.84,482.6
2024-10-28,October,0,Monday,4792,550.6,479.6
2024-10-29,October,1,Tuesday,4149,474.21,470.0
2024-10-30,October,2,Wednesday,4235,483.22,472.4
2024-10-31,October,3,Thursday,3896,444.1,477.0
2024-11-01,November,4,Friday,3822,435.84,487.6
2024-11-02,November,5,Saturday,2686,307.24,474.8
2024-11-03,November,6,Sunday,1813,201.57,463.8
2024-11-04,November,0,Monday,5025,570.76,479.4
2024-11-05,November,1,Tuesday,4598,549.5,497.2
2024-11-06,November,2,Wednesday,3971,463.99,478.6
2024-11-07,November,3,Thursday,3928,453.26,481.6
2024-11-08,November,4,Friday,3279,382.02,470.4
2024-11-09,November,5,Saturday,2744,328.29,498.2
2024-11-10,November,6,Sunday,1974,229.06,485.4
2024-11-11,November,0,Monday,4694,547.33,486.2
2024-11-12,November,1,Tuesday,4504,544.83,495.6
2024-11-13,November,2,Wednesday,4141,485.94,490.0
2024-11-14,November,3,Thursday,3621,408.74,481.2
2024-11-15,November,4,Friday,3680,402.51,457.0
2024-11-16,November,5,Saturday,2724,307.03,471.8
2024-11-17,November,6,Sunday,2019,237.43,494.4
2024-11-18,November,0,Monday,4680,535.09,472.6
2024-11-19,November,1,Tuesday,4787,571.02,491.8
2024-11-20,November,2,Wednesday,4227,483.13,469.8
2024-11-21,November,3,Thursday,4174,497.73,496.8
2024-11-22,November,4,Friday,3459,412.78,484.2
2024-11-23,November,5,Saturday,2710,316.27,484.8
2024-11-24,November,6,Sunday,1986,230.52,488.4
2024-11-25,November,0,Monday,5035,592.73,483.2
2024-11-26,November,1,Tuesday,4636,529.35,470.2
2024-11-27,November,2,Wednesday,4309,488.87,477.2
2024-11-28,November,3,Thursday,3836,445.25,475.2
2024-11-29,November,4,Friday,3463,410.51,483.8
2024-11-30,November,5,Saturday,2732,312.68,472.2
2024-12-01,December,6,Sunday,2257,255.75,481.4
2024-12-02,December,0,Monday,4978,565.25,475.6
2024-12-03,December,1,Tuesday,5023,555.89,464.4
2024-12-04,December,2,Wednesday,4610,520.24,465.2
2024-12-05,December,3,Thursday,4313,511.82,489.6
2024-12-06,December,4,Friday,4012,452.99,461.8
2024-12-07,December,5,Saturday,3146,356.2,472.8
2024-12-08,December,6,Sunday,2043,237.97,482.4
2024-12-09,December,0,Monday,5170,572.84,469.4
2024-12-10,December,1,Tuesday,5021,572.02,484.2
2024-12-11,December,2,Wednesday,4758,548.94,489.2
2024-12-12,December,3,Thursday,4268,475.18,456.6
2024-12-13,December,4,Friday,3626,417.17,470.2
2024-12-14,December,5,Saturday,2971,349.42,475.6
2024-12-15,December,6,Sunday,2241,253.53,470.6
2024-12-16,December,0,Monday,4805,560.74,484.8
2024-12-17,December,1,Tuesday,5291,600.37,475.4
2024-12-18,December,2,Wednesday,4675,517.98,463.8
2024-12-19,December,3,Thursday,4362,501.58,478.2
2024-12-20,December,4,Friday,3865,442.04,469.8
2024-12-21,December,5,Saturday,2859,327.12,477.4
2024-12-22,December,6,Sunday,1991,233.94,483.2
2024-12-23,December,0,Monday,4933,565.01,473.2
2024-12-24,December,1,Tuesday,4749,549.55,475.0
2024-12-25,December,2,Wednesday,4324,515.73,482.4
2024-12-26,December,3,Thursday,4254,492.86,475.0
2024-12-27,December,4,Friday,3821,438.13,468.6
2024-12-28,December,5,Saturday,3120,359.75,480.2
2024-12-29,December,6,Sunday,1963,231.4,482.0
2024-12-30,December,0,Monday,5103,607.46,490.0
2024-12-31,December,1,Tuesday,5095,592.91,476.2
2025-01-01,January,2,Wednesday,3749,435.51,477.8
2025-01-02,January,3,Thursday,3399,396.98,497.0
2025-01-03,January,4,Friday,2947,337.35,465.8
2025-01-04,January,5,Saturday,2359,274.27,472.8
2025-01-05,January,6,Sunday,1707,191.1,469.4
2025-01-06,January,0,Monday,4140,490.69,494.0
2025-01-07,January,1,Tuesday,4110,460.04,459.4
2025-01-08,January,2,Wednesday,3630,407.11,467.6
2025-01-09,January,3,Thursday,3374,392.62,478.8
2025-01-10,January,4,Friday,3089,368.14,488.6
2025-01-11,January,5,Saturday,2421,287.37,484.0
2025-01-12,January,6,Sunday,1723,209.09,493.2
2025-01-13,January,0,Monday,4113,480.06,484.8
2025-01-14,January,1,Tuesday,4085,463.55,480.2
2025-01-15,January,2,Wednesday,3766,435.54,481.6
2025-01-16,January,3,Thursday,3261,372.48,478.4
2025-01-17,January,4,Friday,3315,385.34,484.8
2025-01-18,January,5,Saturday,2293,260.36,468.8
2025-01-19,January,6,Sunday,1657,187.09,460.4
2025-01-20,January,0,Monday,3954,501.22,507.2
2025-01-21,January,1,Tuesday,3945,446.1,482.8
2025-01-22,January,2,Wednesday,3581,409.4,483.6
2025-01-23,January,3,Thursday,3486,395.53,476.0
2025-01-24,January,4,Friday,3099,358.69,487.4
2025-01-25,January,5,Saturday,2283,258.72,482.2
2025-01-26,January,6,Sunday,1880,224.48,489.4
2025-01-27,January,0,Monday,4240,469.95,468.6
2025-01-28,January,1,Tuesday,3982,458.23,483.6
2025-01-29,January,2,Wednesday,3561,423.08,480.6
2025-01-30,January,3,Thursday,3577,406.37,477.2
2025-01-31,January,4,Friday,2955,349.46,484.8
2025-02-01,February,5,Saturday,2454,275.52,486.2
2025-02-02,February,6,Sunday,1804,209.8,491.6
2025-02-03,February,0,Monday,3999,459.37,481.6
2025-02-04,February,1,Tuesday,3645,415.91,484.8
2025-02-05,February,2,Wednesday,3522,403.57,463.6
2025-02-06,February,3,Thursday,3167,370.39,474.0
2025-02-07,February,4,Friday,2803,334.96,501.0
2025-02-08,February,5,Saturday,2381,274.23,485.0
2025-02-09,February,6,Sunday,1796,197.02,468.2
2025-02-10,February,0,Monday,4169,472.69,465.4
2025-02-11,February,1,Tuesday,3997,462.16,479.2
2025-02-12,February,2,Wednesday,3390,390.76,481.4
2025-02-13,February,3,Thursday,3458,397.57,473.2
2025-02-14,February,4,Friday,2945,338.32,480.6
2025-02-15,February,5,Saturday,2375,277.64,485.4
2025-02-16,February,6,Sunday,1739,196.28,470.8
2025-02-17,February,0,Monday,3897,452.07,473.8
2025-02-18,February,1,Tuesday,4027,444.78,467.8
2025-02-19,February,2,Wednesday,3667,423.07,478.4
2025-02-20,February,3,Thursday,3223,378.07,481.8
2025-02-21,February,4,Friday,2972,336.16,457.8
2025-02-22,February,5,Saturday,2456,282.11,475.2
2025-02-23,February,6,Sunday,1659,192.63,470.4
2025-02-24,February,0,Monday,3894,447.83,477.6
2025-02-25,February,1,Tuesday,4060,464.67,469.2
2025-02-26,February,2,Wednesday,3524,400.4,471.8
2025-02-27,February,3,Thursday,3199,381.86,486.4
2025-02-28,February,4,Friday,3232,367.79,478.8
2025-03-01,March,5,Saturday,2503,288.77,487.8
2025-03-02,March,6,Sunday,1774,210.92,477.4
2025-03-03,March,0,Monday,4205,459.06,465.2
2025-03-04,March,1,Tuesday,4004,467.55,487.6
2025-03-05,March,2,Wednesday,3495,412.03,499.0
2025-03-06,March,3,Thursday,3491,392.58,490.0
2025-03-07,March,4,Friday,3057,355.96,469.8
2025-03-08,March,5,Saturday,2461,285.01,470.8
2025-03-09,March,6,Sunday,1613,185.2,481.8
2025-03-10,March,0,Monday,4154,473.96,481.6
2025-03-11,March,1,Tuesday,4096,472.81,481.8
2025-03-12,March,2,Wednesday,3507,399.86,465.2
2025-03-13,March,3,Thursday,3480,397.03,462.4
2025-03-14,March,4,Friday,3207,360.63,473.2
2025-03-15,March,5,Saturday,2413,275.76,466.8
2025-03-16,March,6,Sunday,1798,194.5,457.6
2025-03-17,March,0,Monday,4327,500.72,472.0
2025-03-18,March,1,Tuesday,3989,441.55,466.0
2025-03-19,March,2,Wednesday,3640,425.82,480.2
2025-03-20,March,3,Thursday,3447,389.31,468.4
2025-03-21,March,4,Friday,3227,359.33,456.4
2025-03-22,March,5,Saturday,2255,258.85,464.4
2025-03-23,March,6,Sunday,1719,196.54,468.6
2025-03-24,March,0,Monday,4489,531.33,490.4
2025-03-25,March,1,Tuesday,3817,435.62,473.4
2025-03-26,March,2,Wednesday,3510,382.63,473.6
2025-03-27,March,3,Thursday,3470,407.81,487.8
2025-03-28,March,4,Friday,3288,360.51,469.8
2025-03-29,March,5,Saturday,2432,286.4,478.2
2025-03-30,March,6,Sunday,1678,194.61,489.4
2025-03-31,March,0,Monday,4001,459.95,467.4
2025-04-01,April,1,Tuesday,4216,488.06,502.2
2025-04-02,April,2,Wednesday,4039,462.35,468.6
2025-04-03,April,3,Thursday,3898,449.85,465.4
2025-04-04,April,4,Friday,3517,400.11,486.8
2025-04-05,April,5,Saturday,2666,326.46,494.8
2025-04-06,April,6,Sunday,2022,238.08,481.6
2025-04-07,April,0,Monday,4661,547.62,486.2
2025-04-08,April,1,Tuesday,4264,499.27,474.4
2025-04-09,April,2,Wednesday,4092,481.32,489.0
2025-04-10,April,3,Thursday,3734,456.33,499.8
2025-04-11,April,4,Friday,3226,370.7,475.8
2025-04-12,April,5,Saturday,2659,307.43,488.8
2025-04-13,April,6,Sunday,1891,211.87,476.2
2025-04-14,April,0,Monday,4444,497.7,465.0
2025-04-15,April,1,Tuesday,4567,516.5,480.2
2025-04-16,April,2,Wednesday,3941,460.96,492.2
2025-04-17,April,3,Thursday,3412,404.95,488.2
2025-04-18,April,4,Friday,3317,403.35,487.2
2025-04-19,April,5,Saturday,2642,299.14,461.2
2025-04-20,April,6,Sunday,1850,207.51,458.4
2025-04-21,April,0,Monday,4388,502.96,487.8
2025-04-22,April,1,Tuesday,4176,513.86,493.8
2025-04-23,April,2,Wednesday,3547,413.66,469.0
2025-04-24,April,3,Thursday,3479,415.95,496.0
2025-04-25,April,4,Friday,3339,409.08,512.6
2025-04-26,April,5,Saturday,2682,313.39,499.0
2025-04-27,April,6,Sunday,1907,221.28,483.0
2025-04-28,April,0,Monday,4553,529.83,492.0
2025-04-29,April,1,Tuesday,4387,487.59,468.2
2025-04-30,April,2,Wednesday,4013,483.07,492.6
2025-05-01,May,3,Thursday,3879,437.55,473.8
2025-05-02,May,4,Friday,3487,399.87,477.4
2025-05-03,May,5,Saturday,2773,320.63,477.6
2025-05-04,May,6,Sunday,1934,215.31,471.0
2025-05-05,May,0,Monday,4536,531.83,488.2
2025-05-06,May,1,Tuesday,4638,544.35,475.0
2025-05-07,May,2,Wednesday,4221,474.46,476.6
2025-05-08,May,3,Thursday,3925,457.29,487.8
2025-05-09,May,4,Friday,3629,417.2,470.6
2025-05-10,May,5,Saturday,2881,339.33,481.8
2025-05-11,May,6,Sunday,2073,232.76,482.2
2025-05-12,May,0,Monday,4627,531.34,486.0
2025-05-13,May,1,Tuesday,4330,495.21,469.0
2025-05-14,May,2,Wednesday,4137,488.26,481.6
2025-05-15,May,3,Thursday,3911,438.16,469.6
2025-05-16,May,4,Friday,3671,410.68,477.4
2025-05-17,May,5,Saturday,2817,323.85,481.4
2025-05-18,May,6,Sunday,1820,207.35,467.8
2025-05-19,May,0,Monday,5008,567.93,490.6
2025-05-20,May,1,Tuesday,4616,527.07,490.6
2025-05-21,May,2,Wednesday,4110,484.22,489.2
2025-05-22,May,3,Thursday,4026,447.07,469.8
2025-05-23,May,4,Friday,3458,396.82,469.4
2025-05-24,May,5,Saturday,2724,325.81,488.4
2025-05-25,May,6,Sunday,1921,223.35,482.0
2025-05-26,May,0,Monday,4593,536.58,468.6
2025-05-27,May,1,Tuesday,4239,475.16,474.8
2025-05-28,May,2,Wednesday,4079,484.88,501.4
2025-05-29,May,3,Thursday,3896,454.07,477.8
2025-05-30,May,4,Friday,3688,418.95,461.0
