date,month,dow_num,day_of_week,total_volume,total_workload_hours,avg_aht,volume_30_days_moving_average,workload_hours_30_days_moving_average,aht_30_days_moving_average
2024-02-29,February,3,Thursday,3316,394.21,488.0,3064.17,353.06,476.47
2024-03-01,March,4,Friday,2983,342.34,485.2,3048.33,351.22,476.47
2024-03-02,March,5,Saturday,2338,270.18,484.4,3014.7,347.93,477.06
2024-03-03,March,6,Sunday,1750,201.81,498.0,2972.37,343.59,478.31
2024-03-04,March,0,Monday,3995,458.6,478.8,3024.67,349.77,478.41
2024-03-05,March,1,Tuesday,3762,444.22,485.2,3097.53,358.32,478.1
2024-03-06,March,2,Wednesday,3579,443.02,495.8,3075.53,356.76,479.12
2024-03-07,March,3,Thursday,3311,371.42,479.0,3065.5,355.07,479.26
2024-03-08,March,4,Friday,2902,311.23,456.8,3048.53,352.32,478.54
2024-03-09,March,5,Saturday,2296,260.56,486.6,3015.97,348.52,478.9
2024-03-10,March,6,Sunday,1556,177.25,471.4,2971.77,343.26,478.83
2024-03-11,March,0,Monday,4205,472.05,472.6,3033.4,350.08,478.88
2024-03-12,March,1,Tuesday,3682,413.35,473.6,3099.4,357.33,478.94
2024-03-13,March,2,Wednesday,3635,417.65,474.2,3083.3,355.07,478.39
2024-03-14,March,3,Thursday,3285,372.9,480.6,3068.8,353.8,479.23
2024-03-15,March,4,Friday,3227,374.5,491.2,3059.5,352.46,479.7
2024-03-16,March,5,Saturday,2334,258.36,451.0,3029.33,348.79,479.1
2024-03-17,March,6,Sunday,1499,175.62,480.8,2980.77,343.21,479.09
2024-03-18,March,0,Monday,4233,479.74,485.2,3046.5,350.48,479.71
2024-03-19,March,1,Tuesday,3714,453.35,491.8,3116.87,359.21,479.56
2024-03-20,March,2,Wednesday,3550,407.93,474.0,3108.1,357.55,479.17
2024-03-21,March,3,Thursday,3173,373.92,492.4,3084.53,355.71,479.67
2024-03-22,March,4,Friday,2990,344.85,477.0,3070.47,354.32,480.14
2024-03-23,March,5,Saturday,2240,264.07,476.8,3049.77,351.89,479.78
2024-03-24,March,6,Sunday,1694,189.47,471.4,3012.73,347.31,479.66
2024-03-25,March,0,Monday,4290,480.48,468.0,3077.53,354.26,479.41
2024-03-26,March,1,Tuesday,3898,464.78,481.0,3153.73,363.3,478.89
2024-03-27,March,2,Wednesday,3339,394.08,487.4,3124.77,360.54,479.33
2024-03-28,March,3,Thursday,3266,377.99,487.8,3112.8,359.42,480.12
2024-03-29,March,4,Friday,2796,318.17,474.6,3094.6,356.94,480.02
2024-03-30,March,5,Saturday,2283,261.49,481.4,3060.17,352.51,479.8
2024-03-31,March,6,Sunday,1635,192.93,485.0,3015.23,347.53,479.79
2024-04-01,April,0,Monday,4048,486.03,487.2,3072.23,354.73,479.89
2024-04-02,April,1,Tuesday,4223,468.54,461.6,3154.67,363.62,478.67
2024-04-03,April,2,Wednesday,3852,444.7,483.4,3149.9,363.16,478.83
2024-04-04,April,3,Thursday,3375,409.51,483.4,3137.0,362.0,478.77
2024-04-05,April,4,Friday,3360,398.61,491.2,3129.7,360.52,478.61
2024-04-06,April,5,Saturday,2340,273.28,485.4,3097.33,357.25,478.83
2024-04-07,April,6,Sunday,1701,201.44,482.2,3057.3,353.59,479.67
2024-04-08,April,0,Monday,4491,500.85,466.8,3130.47,361.6,479.01
2024-04-09,April,1,Tuesday,4022,470.4,484.4,3212.67,371.37,479.45
2024-04-10,April,2,Wednesday,3797,434.76,475.0,3199.07,370.12,479.53
2024-04-11,April,3,Thursday,3411,389.88,465.0,3190.03,369.34,479.24
2024-04-12,April,4,Friday,3205,370.22,484.8,3175.7,367.76,479.59
2024-04-13,April,5,Saturday,2533,284.39,463.2,3150.63,364.81,479.01
2024-04-14,April,6,Sunday,1710,199.64,493.8,3100.07,358.98,479.1
2024-04-15,April,0,Monday,4021,454.75,469.8,3156.3,365.53,479.73
2024-04-16,April,1,Tuesday,4037,470.56,482.6,3240.9,375.36,479.79
2024-04-17,April,2,Wednesday,3685,425.21,455.6,3222.63,373.54,478.8
2024-04-18,April,3,Thursday,3582,398.15,458.0,3218.23,371.7,477.67
2024-04-19,April,4,Friday,3186,357.77,468.2,3206.1,370.03,477.48
2024-04-20,April,5,Saturday,2621,282.31,455.8,3187.7,366.98,476.26
2024-04-21,April,6,Sunday,1746,201.76,467.2,3146.23,362.21,475.93
2024-04-22,April,0,Monday,4658,533.34,478.0,3226.83,371.18,475.97
2024-04-23,April,1,Tuesday,3815,426.39,471.8,3297.53,379.08,475.99
2024-04-24,April,2,Wednesday,3957,467.84,491.4,3286.43,378.66,476.77
2024-04-25,April,3,Thursday,3564,395.13,469.0,3275.3,376.34,476.37
2024-04-26,April,4,Friday,3342,385.76,487.6,3275.4,376.06,476.37
2024-04-27,April,5,Saturday,2442,276.06,477.4,3247.93,372.66,476.03
2024-04-28,April,6,Sunday,1843,217.22,484.0,3216.17,369.3,476.34
2024-04-29,April,0,Monday,4156,491.56,480.0,3278.6,376.97,476.29
2024-04-30,April,1,Tuesday,4301,511.23,481.0,3367.47,387.58,476.16
2024-05-01,May,2,Wednesday,3933,471.38,483.8,3363.63,387.09,476.05
2024-05-02,May,3,Thursday,3907,448.81,473.8,3353.1,386.43,476.45
2024-05-03,May,4,Friday,3471,379.99,453.2,3340.4,384.27,475.45
2024-05-04,May,5,Saturday,2801,317.56,476.2,3321.27,381.21,475.21
2024-05-05,May,6,Sunday,1841,221.44,491.0,3270.63,375.3,475.2
2024-05-06,May,0,Monday,4369,503.54,494.4,3338.27,382.98,475.5
2024-05-07,May,1,Tuesday,4147,466.05,481.6,3419.8,391.8,475.48
2024-05-08,May,2,Wednesday,3949,433.47,458.8,3401.73,389.55,475.21
2024-05-09,May,3,Thursday,3587,403.71,467.8,3387.23,387.33,474.66
2024-05-10,May,4,Friday,3617,411.58,469.4,3381.23,386.56,474.47
2024-05-11,May,5,Saturday,2623,301.13,477.0,3354.97,383.6,474.87
2024-05-12,May,6,Sunday,1817,213.77,484.2,3308.7,378.38,474.85
2024-05-13,May,0,Monday,4698,543.39,471.6,3380.87,387.02,475.13
2024-05-14,May,1,Tuesday,4168,498.23,495.4,3462.8,396.97,475.19
2024-05-15,May,2,Wednesday,4075,481.76,486.4,3464.6,397.87,475.74
2024-05-16,May,3,Thursday,3639,411.59,457.4,3451.33,395.9,474.9
2024-05-17,May,4,Friday,3401,412.13,494.8,3441.87,395.47,476.21
2024-05-18,May,5,Saturday,2594,291.13,464.4,3408.93,391.9,476.42
2024-05-19,May,6,Sunday,1808,202.78,460.8,3363.0,386.73,476.17
2024-05-20,May,0,Monday,4337,501.43,490.8,3420.2,394.04,477.34
2024-05-21,May,1,Tuesday,4551,527.36,484.8,3513.7,404.89,477.93
2024-05-22,May,2,Wednesday,3894,463.72,484.6,3488.23,402.57,478.15
2024-05-23,May,3,Thursday,3855,429.35,473.8,3489.57,402.67,478.21
2024-05-24,May,4,Friday,3192,381.83,480.4,3464.07,399.8,477.85
2024-05-25,May,5,Saturday,2617,296.63,476.8,3432.5,396.52,478.11
2024-05-26,May,6,Sunday,1888,213.31,475.8,3384.03,390.77,477.71
2024-05-27,May,0,Monday,4775,567.17,487.2,3461.8,400.48,478.04
2024-05-28,May,1,Tuesday,4015,456.47,480.8,3534.2,408.45,477.93
2024-05-29,May,2,Wednesday,3741,429.95,484.0,3520.37,406.4,478.07
2024-05-30,May,3,Thursday,3473,410.51,491.0,3492.77,403.04,478.4
2024-05-31,May,4,Friday,3624,405.91,456.8,3482.47,400.86,477.5
2024-06-01,June,5,Saturday,2783,303.96,461.0,3445.0,396.03,477.07
2024-06-02,June,6,Sunday,1945,229.83,488.6,3394.13,391.02,478.25
2024-06-03,June,0,Monday,4582,516.04,471.0,3453.5,397.64,478.08
2024-06-04,June,1,Tuesday,4057,450.83,458.8,3527.37,405.29,477.01
2024-06-05,June,2,Wednesday,3885,460.28,486.4,3511.23,403.84,476.74
2024-06-06,June,3,Thursday,3805,424.12,469.6,3499.83,402.45,476.34
2024-06-07,June,4,Friday,3336,381.58,486.8,3479.4,400.72,477.27
2024-06-08,June,5,Saturday,2692,317.07,490.0,3449.57,397.83,478.01
2024-06-09,June,6,Sunday,1861,210.05,466.4,3391.03,391.11,477.91
2024-06-10,June,0,Monday,4336,522.3,498.8,3448.13,398.48,478.64
2024-06-11,June,1,Tuesday,4432,513.0,482.0,3535.3,408.46,478.57
2024-06-12,June,2,Wednesday,3924,472.72,498.6,3509.5,406.1,479.47
2024-06-13,June,3,Thursday,3962,458.19,480.2,3502.63,404.77,478.96
2024-06-14,June,4,Friday,3442,385.37,476.0,3481.53,401.55,478.61
2024-06-15,June,5,Saturday,2394,271.24,478.2,3440.03,396.88,479.31
2024-06-16,June,6,Sunday,1851,213.11,479.0,3388.37,390.24,478.78
2024-06-17,June,0,Monday,4348,510.5,466.6,3446.83,397.55,478.85
2024-06-18,June,1,Tuesday,4583,495.31,467.6,3539.33,407.3,479.08
2024-06-19,June,2,Wednesday,3804,452.98,489.0,3521.57,405.69,479.02
2024-06-20,June,3,Thursday,3675,415.68,468.2,3492.37,401.97,478.47
2024-06-21,June,4,Friday,3412,388.3,472.8,3476.3,399.45,478.07
2024-06-22,June,5,Saturday,2669,319.98,504.4,3436.77,395.81,479.09
2024-06-23,June,6,Sunday,1740,205.0,479.8,3388.37,389.91,479.07
2024-06-24,June,0,Monday,4654,553.97,483.6,3456.27,398.49,479.3
2024-06-25,June,1,Tuesday,4429,515.9,479.8,3540.97,408.58,479.43
2024-06-26,June,2,Wednesday,4084,463.49,472.8,3517.93,405.12,478.95
2024-06-27,June,3,Thursday,3980,463.87,483.4,3516.77,405.37,479.04
2024-06-28,June,4,Friday,3366,402.41,484.6,3504.27,404.45,479.06
2024-06-29,June,5,Saturday,2614,303.42,477.0,3475.63,400.88,478.59
2024-06-30,June,6,Sunday,1901,220.88,483.6,3418.2,394.71,479.49
2024-07-01,July,0,Monday,3750,427.17,485.8,3450.43,398.82,480.31
2024-07-02,July,1,Tuesday,3637,415.86,471.0,3506.83,405.02,479.73
2024-07-03,July,2,Wednesday,3319,396.17,482.8,3464.73,401.02,480.12
2024-07-04,July,3,Thursday,3022,348.74,482.2,3430.23,397.62,480.9
2024-07-05,July,4,Friday,2712,319.21,482.0,3391.13,392.92,480.75
2024-07-06,July,5,Saturday,2143,245.54,464.6,3335.73,386.97,480.59
2024-07-07,July,6,Sunday,1589,190.25,495.4,3277.5,380.59,480.87
2024-07-08,July,0,Monday,3481,415.04,490.2,3303.8,383.85,480.88
2024-07-09,July,1,Tuesday,3452,399.99,479.4,3356.83,390.19,481.31
2024-07-10,July,2,Wednesday,3414,398.14,476.2,3326.1,386.05,480.56
2024-07-11,July,3,Thursday,3228,356.68,471.2,3285.97,380.84,480.2
2024-07-12,July,4,Friday,2945,335.35,487.6,3253.33,376.26,479.83
2024-07-13,July,5,Saturday,2190,254.18,491.2,3194.27,369.46,480.2
2024-07-14,July,6,Sunday,1373,156.6,474.6,3125.3,361.83,480.15
2024-07-15,July,0,Monday,3702,389.74,433.0,3168.9,365.78,478.65
2024-07-16,July,1,Tuesday,3655,424.66,496.8,3229.03,372.83,479.24
2024-07-17,July,2,Wednesday,3100,361.71,470.0,3187.43,367.87,479.35
2024-07-18,July,3,Thursday,3243,375.28,489.4,3142.77,363.87,480.08
2024-07-19,July,4,Friday,2933,341.68,482.4,3113.73,360.16,479.86
2024-07-20,July,5,Saturday,2255,262.69,485.0,3066.4,355.06,480.42
2024-07-21,July,6,Sunday,1718,201.7,477.2,3009.93,348.84,480.57
2024-07-22,July,0,Monday,3661,430.11,477.4,3043.0,352.51,479.67
2024-07-23,July,1,Tuesday,3668,436.51,489.0,3107.27,360.23,479.97
2024-07-24,July,2,Wednesday,3273,378.1,471.4,3061.23,354.37,479.57
2024-07-25,July,3,Thursday,3033,344.23,464.2,3014.7,348.65,479.05
2024-07-26,July,4,Friday,2745,327.99,486.2,2970.07,344.13,479.49
2024-07-27,July,5,Saturday,2296,269.37,483.2,2913.93,337.65,479.49
2024-07-28,July,6,Sunday,1557,181.4,481.0,2853.63,330.28,479.37
2024-07-29,July,0,Monday,3737,430.67,488.4,2891.07,334.52,479.75
2024-07-30,July,1,Tuesday,3636,419.19,483.2,2948.9,341.13,479.73
2024-07-31,July,2,Wednesday,3243,389.14,496.8,2932.0,339.86,480.1
2024-08-01,August,3,Thursday,3017,353.27,483.6,2911.33,337.78,480.52
2024-08-02,August,4,Friday,2777,306.57,476.0,2893.27,334.79,480.29
2024-08-03,August,5,Saturday,2058,235.12,476.0,2861.13,331.0,480.09
2024-08-04,August,6,Sunday,1506,177.37,476.8,2820.93,326.28,479.91
2024-08-05,August,0,Monday,3754,442.9,496.4,2874.63,332.85,480.97
2024-08-06,August,1,Tuesday,3594,406.27,470.0,2941.47,340.06,480.13
2024-08-07,August,2,Wednesday,3030,356.06,477.4,2926.43,338.09,479.7
2024-08-08,August,3,Thursday,3186,380.18,481.2,2917.57,337.43,479.76
2024-08-09,August,4,Friday,2672,307.45,475.2,2892.83,334.41,479.73
2024-08-10,August,5,Saturday,2190,253.04,488.8,2858.23,330.95,480.31
2024-08-11,August,6,Sunday,1606,180.64,465.4,2813.6,325.79,479.57
2024-08-12,August,0,Monday,3922,449.41,461.2,2871.33,332.3,478.57
2024-08-13,August,1,Tuesday,3369,391.86,485.8,2937.87,340.14,478.95
2024-08-14,August,2,Wednesday,3385,380.52,463.0,2927.3,339.84,479.95
2024-08-15,August,3,Thursday,3082,355.17,478.0,2908.2,337.52,479.32
2024-08-16,August,4,Friday,2766,303.78,459.0,2897.07,335.59,478.95
2024-08-17,August,5,Saturday,1999,229.36,470.6,2855.6,330.72,478.33
2024-08-18,August,6,Sunday,1431,165.32,480.2,2805.53,324.85,478.25
2024-08-19,August,0,Monday,3929,456.25,476.2,2861.33,331.3,477.96
2024-08-20,August,1,Tuesday,3325,379.62,482.6,2914.9,337.23,478.14
2024-08-21,August,2,Wednesday,3518,399.81,475.2,2910.13,336.22,478.07
2024-08-22,August,3,Thursday,3090,358.94,484.0,2890.87,333.63,477.9
2024-08-23,August,4,Friday,2602,300.05,475.4,2868.5,331.03,478.03
2024-08-24,August,5,Saturday,2209,246.64,481.8,2841.03,327.78,478.62
2024-08-25,August,6,Sunday,1507,176.27,485.0,2799.77,322.72,478.58
2024-08-26,August,0,Monday,3464,395.83,472.8,2838.7,326.94,478.23
2024-08-27,August,1,Tuesday,3647,424.18,485.6,2908.37,335.03,478.39
2024-08-28,August,2,Wednesday,3207,391.4,496.8,2890.7,333.72,478.67
2024-08-29,August,3,Thursday,3002,341.08,463.2,2869.57,331.12,478.0
2024-08-30,August,4,Friday,2585,292.29,470.6,2847.63,327.89,477.13
2024-08-31,August,5,Saturday,2228,267.88,491.4,2821.33,325.04,477.39
2024-09-01,September,6,Sunday,1826,207.87,474.0,2789.63,321.75,477.32
2024-09-02,September,0,Monday,4485,534.99,492.8,2870.53,331.75,477.88
2024-09-03,September,1,Tuesday,4062,482.73,486.4,2955.73,341.93,478.2
2024-09-04,September,2,Wednesday,4090,456.65,463.6,2966.93,342.38,477.11
2024-09-05,September,3,Thursday,3518,396.66,479.2,2964.4,342.06,477.41
2024-09-06,September,4,Friday,3087,345.81,472.8,2966.3,341.72,477.26
2024-09-07,September,5,Saturday,2504,289.31,475.6,2943.57,338.69,477.07
2024-09-08,September,6,Sunday,1851,212.11,478.0,2916.2,335.52,477.17
2024-09-09,September,0,Monday,4513,530.93,500.0,2993.63,344.78,477.54
2024-09-10,September,1,Tuesday,4016,486.78,502.8,3073.97,354.98,478.79
2024-09-11,September,2,Wednesday,3893,447.62,467.4,3073.0,354.92,478.99
2024-09-12,September,3,Thursday,3839,447.14,488.8,3088.67,356.77,479.09
2024-09-13,September,4,Friday,3349,392.62,485.2,3087.47,357.17,479.83
2024-09-14,September,5,Saturday,2388,278.51,487.6,3064.33,354.61,480.15
2024-09-15,September,6,Sunday,1926,218.97,477.8,3036.33,351.79,480.78
2024-09-16,September,0,Monday,4435,528.21,496.4,3117.53,361.75,481.64
2024-09-17,September,1,Tuesday,4214,485.68,479.6,3210.3,372.43,481.62
2024-09-18,September,2,Wednesday,3814,433.95,473.4,3206.47,371.68,481.53
2024-09-19,September,3,Thursday,3866,452.53,487.0,3224.5,374.11,481.67
2024-09-20,September,4,Friday,3113,353.05,459.6,3211.0,372.56,481.15
2024-09-21,September,5,Saturday,2592,291.13,467.8,3194.4,370.3,480.61
2024-09-22,September,6,Sunday,1728,200.16,480.6,3165.27,366.97,480.79
2024-09-23,September,0,Monday,4627,561.2,502.8,3245.87,377.45,481.49
2024-09-24,September,1,Tuesday,4113,462.2,472.2,3332.73,386.98,481.06
2024-09-25,September,2,Wednesday,3971,482.71,493.4,3349.63,389.88,481.75
2024-09-26,September,3,Thursday,3482,388.99,472.4,3344.13,388.71,481.31
2024-09-27,September,4,Friday,3170,364.96,473.2,3342.9,387.82,480.52
2024-09-28,September,5,Saturday,2430,285.47,488.2,3323.83,385.97,481.35
2024-09-29,September,6,Sunday,1875,219.5,481.8,3300.17,383.54,481.73
2024-09-30,September,0,Monday,4219,490.13,479.4,3366.53,390.95,481.33
2024-10-01,October,1,Tuesday,4349,489.52,478.8,3450.63,400.34,481.49
2024-10-02,October,2,Wednesday,4130,485.82,488.8,3438.8,398.7,481.35
2024-10-03,October,3,Thursday,4094,491.98,508.6,3439.87,399.01,482.09
2024-10-04,October,4,Friday,3646,413.15,476.0,3425.07,397.56,482.51
2024-10-05,October,5,Saturday,2811,323.85,485.2,3401.5,395.13,482.71
2024-10-06,October,6,Sunday,1813,212.8,476.4,3359.03,390.7,482.83
2024-10-07,October,0,Monday,4731,537.65,473.6,3433.27,398.98,482.76
2024-10-08,October,1,Tuesday,4388,504.33,475.6,3517.83,408.72,482.68
2024-10-09,October,2,Wednesday,4201,496.66,486.2,3507.43,407.58,482.22
2024-10-10,October,3,Thursday,3958,453.81,466.6,3505.5,406.48,481.01
2024-10-11,October,4,Friday,3440,406.22,495.4,3490.4,405.1,481.95
2024-10-12,October,5,Saturday,2551,290.59,474.6,3447.47,399.88,481.47
2024-10-13,October,6,Sunday,1983,234.74,488.6,3401.93,394.62,481.59
2024-10-14,October,0,Monday,4841,532.81,476.2,3483.7,403.09,481.21
2024-10-15,October,1,Tuesday,4547,513.0,472.0,3571.07,412.89,481.01
2024-10-16,October,2,Wednesday,4003,474.87,490.0,3556.67,411.12,480.8
2024-10-17,October,3,Thursday,4025,461.85,471.0,3550.37,410.32,480.51
2024-10-18,October,4,Friday,3428,397.39,474.6,3537.5,409.1,480.55
2024-10-19,October,5,Saturday,2569,300.74,479.4,3494.27,404.04,480.3
2024-10-20,October,6,Sunday,2002,224.53,475.2,3457.23,399.76,480.82
2024-10-21,October,0,Monday,4590,525.51,477.8,3523.83,407.57,481.15
2024-10-22,October,1,Tuesday,4456,515.3,479.8,3614.77,418.08,481.13
2024-10-23,October,2,Wednesday,4248,491.93,475.4,3602.13,415.77,480.21
2024-10-24,October,3,Thursday,3639,435.78,485.2,3586.33,414.89,480.65
2024-10-25,October,4,Friday,3538,409.57,486.6,3571.9,412.45,480.42
2024-10-26,October,5,Saturday,2991,352.05,480.4,3555.53,411.22,480.69
2024-10-27,October,6,Sunday,1874,224.84,482.6,3512.33,406.55,481.0
2024-10-28,October,0,Monday,4792,550.6,479.6,3591.07,415.38,480.71
2024-10-29,October,1,Tuesday,4149,474.21,470.0,3666.87,423.87,480.32
2024-10-30,October,2,Wednesday,4235,483.22,472.4,3667.4,423.64,480.09
2024-10-31,October,3,Thursday,3896,444.1,477.0,3652.3,422.13,480.03
2024-11-01,November,4,Friday,3822,435.84,487.6,3642.03,420.46,479.99
2024-11-02,November,5,Saturday,2686,307.24,474.8,3595.1,414.31,478.86
2024-11-03,November,6,Sunday,1813,201.57,463.8,3534.0,407.25,478.45
2024-11-04,November,0,Monday,5025,570.76,479.4,3607.8,415.48,478.26
2024-11-05,November,1,Tuesday,4598,549.5,497.2,3700.63,426.71,478.95
2024-11-06,November,2,Wednesday,3971,463.99,478.6,3675.3,424.25,479.12
2024-11-07,November,3,Thursday,3928,453.26,481.6,3659.97,422.55,479.32
2024-11-08,November,4,Friday,3279,382.02,470.4,3629.23,418.73,478.79
2024-11-09,November,5,Saturday,2744,328.29,498.2,3588.77,414.54,479.85
2024-11-10,November,6,Sunday,1974,229.06,485.4,3539.9,408.64,479.51
2024-11-11,November,0,Monday,4694,547.33,486.2,3611.33,417.2,479.9
2024-11-12,November,1,Tuesday,4504,544.83,495.6,3695.37,427.53,480.13
2024-11-13,November,2,Wednesday,4141,485.94,490.0,3672.03,425.97,480.59
2024-11-14,November,3,Thursday,3621,408.74,481.2,3641.17,422.5,480.9
2024-11-15,November,4,Friday,3680,402.51,457.0,3630.4,420.08,479.8
2024-11-16,November,5,Saturday,2724,307.03,471.8,3587.03,414.92,479.83
2024-11-17,November,6,Sunday,2019,237.43,494.4,3540.07,409.59,480.49
2024-11-18,November,0,Monday,4680,535.09,472.6,3610.43,417.4,480.26
2024-11-19,November,1,Tuesday,4787,571.02,491.8,3703.27,428.95,480.81
2024-11-20,November,2,Wednesday,4227,483.13,469.8,3691.17,427.54,480.55
2024-11-21,November,3,Thursday,4174,497.73,496.8,3681.77,426.95,481.11
2024-11-22,November,4,Friday,3459,412.78,484.2,3655.47,424.32,481.41
2024-11-23,November,5,Saturday,2710,316.27,484.8,3624.5,420.33,481.39
2024-11-24,November,6,Sunday,1986,230.52,488.4,3572.77,414.36,481.45
2024-11-25,November,0,Monday,5035,592.73,483.2,3640.9,422.39,481.55
2024-11-26,November,1,Tuesday,4636,529.35,470.2,3732.97,432.54,481.13
2024-11-27,November,2,Wednesday,4309,488.87,477.2,3716.87,430.48,481.05
2024-11-28,November,3,Thursday,3836,445.25,475.2,3706.43,429.51,481.23
2024-11-29,November,4,Friday,3463,410.51,483.8,3680.7,427.09,481.61
2024-11-30,November,5,Saturday,2732,312.68,472.2,3641.9,422.71,481.45
2024-12-01,December,6,Sunday,2257,255.75,481.4,3589.73,416.71,481.24
2024-12-02,December,0,Monday,4978,565.25,475.6,3666.13,425.31,481.27
2024-12-03,December,1,Tuesday,5023,555.89,464.4,3773.13,437.12,481.29
2024-12-04,December,2,Wednesday,4610,520.24,465.2,3759.3,435.43,480.81
2024-12-05,December,3,Thursday,4313,511.82,489.6,3749.8,434.18,480.56
2024-12-06,December,4,Friday,4012,452.99,461.8,3751.17,433.81,480.0
2024-12-07,December,5,Saturday,3146,356.2,472.8,3725.1,430.58,479.71
2024-12-08,December,6,Sunday,2043,237.97,482.4,3683.9,425.77,480.11
2024-12-09,December,0,Monday,5170,572.84,469.4,3764.77,433.92,479.15
2024-12-10,December,1,Tuesday,5021,572.02,484.2,3866.33,445.36,479.11
2024-12-11,December,2,Wednesday,4758,548.94,489.2,3868.47,445.41,479.21
2024-12-12,December,3,Thursday,4268,475.18,456.6,3860.6,443.09,477.91
2024-12-13,December,4,Friday,3626,417.17,470.2,3843.43,440.8,477.25
2024-12-14,December,5,Saturday,2971,349.42,475.6,3821.77,438.82,477.06
2024-12-15,December,6,Sunday,2241,253.53,470.6,3773.8,433.85,477.51
2024-12-16,December,0,Monday,4805,560.74,484.8,3843.17,442.31,477.95
2024-12-17,December,1,Tuesday,5291,600.37,475.4,3952.23,454.41,477.31
2024-12-18,December,2,Wednesday,4675,517.98,463.8,3952.07,453.84,477.02
